"TEIGNMOUTH EXETER ROAD BENTON",,,,,,,,,,,,
Grid ref,SX933735,Long,-3.507476,Lat,50.551493,,,,,,,
Station no,RR2827,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.05,0.84,1.38,,
February,,,,,,,,1.13,1.35,0.43,,
March,,,,,,,,0.46,2.79,5.42,,
April,,,,,,,,4.60,2.19,1.88,,
May,,,,,,,,3.04,1.30,1.03,,
June,,,,,,,,1.70,0.71,4.15,,
July,,,,,,,0.73,2.02,1.10,2.11,,
August,,,,,,,1.07,0.52,3.40,1.92,,
September,,,,,,,0.70,0.54,2.49,1.50,,
October,,,,,,,4.87,7.27,2.57,5.11,,
November,,,,,,,3.12,3.56,0.85,0.60,,
December,,,,,,,1.31,4.72,2.99,5.29,,
Total,,,,,,,,30.61,22.58,30.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.80,30.61,22.58,30.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
