SELLY OAK BOURNEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP047809,Long,-1.9323078,Lat,52.426066,Elevation,463,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.58,4.28,0.99,3.6,1.42,2.39,2.53,3.81,2.95,2.55,3.62,1.89,2.74,2.48,3.62,3.57,5.59,1.39,5.1,2.14,2.66,2.25,3.32,0.97,3.78,3.83,3.2,,
February,,,1.74,0.99,2.39,4.75,4.64,1.12,1.48,3.11,1.06,0.11,2.78,5.79,0.75,3.95,2.5,3.05,2.22,0.69,0.8,2.71,0.27,3.27,0.3,2.61,2.79,4.36,0.85,,
March,,,4.67,5.36,2.67,0.88,3.4,2.14,1.42,4.64,2.83,1.06,2.15,2.01,1.12,1.13,0.67,2.8,2.57,0.23,2.44,0.23,1.75,3.1,2.41,0.6,2.18,3.17,0.43,,
April,,,0.21,4.38,1.08,1.18,1.17,2.13,2.65,2.07,4.71,1.08,2.96,2.57,3.66,2.46,2.87,1.78,1.74,0.69,2.74,3.73,3.64,0.94,2.06,3.77,1.97,3.12,0.13,,
May,,0.75,3.17,2.03,1.89,2.29,2.72,3.5,2.98,0.88,2.88,1.45,1.32,1.76,5.52,4.05,4.36,2.54,0.69,1.99,1.95,4.11,6.46,1.85,1.02,1.4,1.28,2.35,1.67,,
June,,1.83,4.99,1.47,2.97,1.57,2.16,3.47,0.83,1.36,2.23,0.47,1.12,0.41,2.43,0.32,1.63,4.94,2.73,1.56,1.42,3.78,1.56,3.27,1.22,2.93,4.6,0.66,2.22,,
July,,0.22,3.38,1.36,3.83,7.26,2,1.89,1.97,3.33,4.17,0.58,5.53,3,3.36,3.86,1.87,3.87,1.28,1.72,4.51,3.47,3.35,2.58,1.55,0.56,6.35,2.93,3.52,,
August,,1.83,6.77,1.19,2.04,1.66,2.58,6.83,1.95,2.87,1.81,3.95,5.03,3.04,4.17,2.83,2.08,3.4,2,2.49,3.22,5.21,2.56,0.91,2.06,1.76,0.64,1.65,3.05,,
September,,1.56,0.83,2.06,1.29,0.72,1.41,2.29,5.9,1.88,2.19,0.8,2.77,3.02,3.7,4.14,0.84,5.13,0.61,0.92,4.39,2.67,3.44,0.77,2.88,4.02,2.96,1.94,2.06,,
October,,2.33,2.96,3.22,2.06,2.47,3.69,3.11,1.37,2.72,2.9,1.71,0.33,3.71,4.44,3.92,2.81,1.94,5.07,4.28,2.84,0.86,3.74,4.08,1.8,3.78,1.74,3.09,2.97,,
November,,3.03,2.12,2.92,3.94,2.89,3.88,1.88,1.86,1.64,0.79,1.8,1.28,2.15,2.04,1.69,6.18,3.88,3.8,8.22,3.43,4.05,1.82,0.95,2.28,5.73,2.88,1.53,3.58,,
December,,5.69,4.11,1.25,7.27,5.25,2.43,1.19,3.27,3.87,2.47,1.88,4.14,3.2,3.79,2.56,0.58,2.91,2.11,6.02,3.26,1,1.09,0.55,5.36,4.3,2.81,2.46,4.63,,
Total,,,39.53,30.51,32.42,34.52,31.5,31.94,28.21,32.18,30.99,17.44,33.03,32.55,37.72,33.39,30.01,39.81,30.41,30.2,36.1,33.96,32.34,24.52,26.26,32.43,33.98,31.09,28.31,,
