"LONG HORSLEY, GHYLLHEUGH",,,,,,,,,,,
Grid ref,NZ137977,Long,-1.7859157,Lat,55.273259,Elevation,275,ft,,,
Station no,RR8815,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.76,1.64,2.86,,3.1,,
February,,,,,1.64,4.11,3.47,,1.4,,
March,,,,,0.9,2.03,1.27,,3.66,,
April,,,,,2.24,3.49,1.58,,1.07,,
May,,,,,5.81,3.63,2.69,,1.38,,
June,,,,,2.3,0.52,4.35,,5.3,,
July,,,,,6,2.36,4.43,,1.7,,
August,,,,,3.24,2.83,2.73,,3.7,,
September,,,,,3.02,4.37,3.16,,1.38,,
October,,,,,4.09,2.55,3.24,,3.13,,
November,,,,,1.39,2.35,4.33,,3.02,,
December,,,,,2.99,5.47,0.45,,2.64,,
Total,,,,,36.38,35.35,34.56,,31.48,27.2,
