GREAT TOTHAM,,,,,,,,,,,,
Grid ref,TL853121,Long,0.684594,Lat,51.776887,,,,,,,
Station no,1294,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.91,1.69,0.95,1.44,2.80,-999.00,0.94,2.31,2.05,1.88,,
February,4.65,0.76,1.05,2.11,1.78,0.42,2.18,3.28,0.12,1.74,,
March,2.35,3.34,0.36,1.97,1.26,0.84,1.46,0.81,1.47,1.19,,
April,2.50,0.97,1.98,0.19,0.17,1.15,0.18,0.95,2.08,0.48,,
May,1.99,1.15,1.72,1.95,4.18,0.38,0.95,2.26,0.59,1.93,,
June,0.87,1.61,1.98,2.86,2.46,1.67,1.40,5.65,0.71,1.56,,
July,1.79,0.71,3.26,2.77,0.19,3.00,2.79,2.24,1.61,2.90,,
August,2.97,1.40,1.41,2.60,0.63,3.91,1.78,3.58,0.75,3.22,,
September,2.18,3.45,2.19,1.79,2.20,1.59,2.81,4.43,0.02,3.72,,
October,0.73,2.11,1.63,1.52,3.97,1.35,1.33,2.51,2.44,6.31,,
November,3.76,4.17,0.87,3.20,1.07,0.44,2.70,1.37,2.92,3.61,,
December,1.75,2.41,0.90,1.17,1.49,1.98,1.93,3.09,3.76,2.53,,
Total,27.45,23.77,18.30,23.57,22.20,20.25,20.45,32.48,18.52,31.07,,
Calc annual,27.45,23.77,18.30,23.57,22.20,16.73,20.45,32.48,18.52,31.07,,
Difference,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,,
