"MAIDSTONE BENCHLEY GARDENS",,,,,,,,,,,,
Grid ref,TQ759561,Long,0.520541,Lat,51.276891,,,,,,,
Station no,360,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.67,1.10,3.48,1.25,1.60,0.82,,
February,,,,,2.90,1.05,1.80,1.53,1.47,0.96,,
March,,,,,1.91,2.54,2.15,0.83,2.42,3.82,,
April,,,,,0.86,2.73,1.10,2.75,2.44,1.50,,
May,,,,,1.69,1.28,1.66,2.16,1.35,1.19,,
June,,,,,1.04,4.39,2.64,1.98,1.13,2.19,,
July,,,,,2.14,1.09,0.51,0.79,3.18,4.01,,
August,,,,,1.59,2.06,0.75,1.87,3.63,2.43,,
September,,,,,1.18,2.00,1.89,0.54,1.16,3.39,,
October,,,,5.59,2.13,1.51,3.99,4.00,1.84,6.72,,
November,,,,2.26,1.50,3.86,5.27,1.91,1.08,1.09,,
December,,,,1.42,3.17,0.66,1.88,2.43,2.32,3.61,,
Total,,,,,23.78,24.27,27.12,22.04,23.62,31.73,,
Calc annual,0.00,0.00,0.00,9.27,23.78,24.27,27.12,22.04,23.62,31.73,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
