"MAIDSTONE (BRENCHLEY GARDENS)",,,,,,,,,,,,
Grid ref,TQ759561,Long,0.520541,Lat,51.276891,,,,,,,
Station no,360,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,2.13,1.23,1.67,3.41,4.17,1.91,2.56,2.10,2.63,,
February,5.51,0.81,1.32,2.22,1.90,1.06,3.20,2.18,0.06,1.71,,
March,2.99,3.67,0.21,2.43,1.31,0.59,0.94,1.12,1.50,1.78,,
April,2.19,0.72,1.82,0.32,0.22,1.02,0.16,1.50,2.20,0.64,,
May,2.11,0.97,1.74,1.76,3.74,0.41,1.73,2.23,1.04,2.13,,
June,1.64,1.04,1.72,3.18,2.24,2.18,1.39,3.79,0.86,1.28,,
July,2.52,0.70,3.14,2.21,3.46,4.13,2.98,1.43,1.73,3.56,,
August,3.67,3.30,1.65,2.93,0.84,2.19,2.50,3.98,0.65,4.87,,
September,3.57,2.98,3.25,1.47,2.49,2.50,2.34,3.14,0.14,4.00,,
October,0.91,2.18,3.18,1.77,4.94,1.49,1.03,2.90,2.69,6.75,,
November,4.04,4.84,1.35,5.53,0.95,0.82,3.04,1.55,3.53,5.02,,
December,2.14,2.74,0.84,1.69,1.80,2.59,2.60,3.39,4.45,3.38,,
Total,33.69,26.08,21.45,27.18,27.30,23.15,23.82,29.57,20.95,37.75,,
Calc annual,33.69,26.08,21.45,27.18,27.30,23.15,23.82,29.77,20.95,37.75,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.20,0.00,-0.00,,
