SWANAGE Town Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ030794,Long,-1.958959,Lat,50.614304,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,5.8,1.62,3.75,2.21,2.02,,,,5.87,5.7,3.86,5.27,3.35,4.6,3.71,6.47,2.44,2.01,3.53,3,6.02,0.86,0.78,4.87,2.15,1.02,1.56,3.42,4.72,1.56,3.31,3.95,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.43,1.13,0.62,1.69,0.01,,,,3.59,5.09,0.79,1.56,3.74,3.68,0.25,1.2,0.55,2.02,3.17,1.73,1.1,1.06,5.16,6.93,0.85,1.45,2.99,1.77,0.09,3.05,3.22,0.38,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.53,0.03,1.25,1,1.73,,,,3.07,2.91,0.39,1.21,2.86,4.15,2.74,0.93,0.4,0.95,1.21,7.71,0.58,1.24,1.52,3.93,3.09,0.43,4.09,0.83,0.88,2.3,1.29,3,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.84,1.05,1.64,2.15,3.11,,,,1.45,2.62,0,1.82,1.01,1.74,1.45,1.01,1.81,0.93,2.91,2,1.43,1.97,2.53,2.03,1.93,2.11,0.22,0.69,1.7,0.29,0.48,2.22,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.94,2.07,2.21,3.39,,,,,0.58,3.24,1.24,0.76,1.22,1.91,3.68,2.12,0.1,1.62,3.38,,1.8,1.77,1.8,3.33,1.85,2.61,1.54,3.94,0.56,1.29,2.51,0.77,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.37,1.41,0.54,2.83,,,,,2.19,0.35,0.36,2.08,0.24,1.26,0.55,0.98,1.82,2.71,3.59,,2.15,0.62,1.09,0.54,1.69,1.8,1.83,2.55,2.07,0.97,2.71,1.95,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.48,1.39,1.07,3.12,,,,,3.43,2.07,1.67,5.06,3.4,1.55,1.88,2.59,2.63,1.2,1.41,,1.51,0.4,5.39,1.4,0.94,2.74,3.7,0.6,2.78,2.17,1.84,2.79,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.88,1.89,2.51,2.74,,,,,0.14,1.97,2.84,3.81,0.01,3.7,3.29,1.43,3.13,1.64,3.96,,3.39,0.87,2.6,3.91,2.15,2.55,2.82,0.46,4.3,2.02,2.91,1.2,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.66,0.48,2.94,1.72,,,,,2.81,2.26,1.54,3.34,1.82,0.76,2.57,2.63,1.95,2.67,3.46,,2.53,4.43,4.18,3.13,5,3.69,3.07,1.76,3.39,2.87,5.23,0.45,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6.3,4.45,2.61,1.05,,,,5.26,1.89,5.43,4.11,5.29,4.3,0.9,4.17,3.94,3.88,2.78,1.4,,2.19,7.98,1.35,1.01,4.04,2.49,3.64,5.23,0.96,2.02,3.66,3.67,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
