"SWANAGE",,,,,,,,,,,,
Grid ref,SZ030794,Long,-1.958959,Lat,50.614304,,,,,,,
Station no,1556,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.87,2.15,1.02,1.56,3.42,4.72,1.56,3.31,3.95,3.36,,
February,6.93,0.85,1.45,2.99,1.77,0.09,3.05,3.22,0.38,3.26,,
March,3.93,3.09,0.43,4.09,0.83,0.88,2.30,1.29,3.00,1.78,,
April,2.03,1.93,2.11,0.22,0.69,1.70,0.29,0.48,2.22,1.84,,
May,3.33,1.85,2.61,1.54,3.94,0.56,1.29,2.51,0.77,2.15,,
June,0.54,1.69,1.80,1.83,2.55,2.07,0.97,2.71,1.95,1.46,,
July,1.40,0.94,2.74,3.70,0.60,2.78,2.17,1.84,2.79,3.56,,
August,3.91,2.15,2.55,2.82,0.46,4.30,2.02,2.91,1.20,5.29,,
September,3.13,5.00,3.69,3.07,1.76,3.39,2.87,5.23,0.45,5.54,,
October,1.01,4.04,2.49,3.64,5.23,0.96,2.02,3.66,3.67,8.03,,
November,9.74,4.45,2.23,5.41,2.24,0.45,1.68,3.44,3.27,6.30,,
December,3.05,3.34,0.98,2.40,5.45,4.02,1.47,3.96,7.45,3.96,,
Total,43.87,31.48,24.10,33.27,28.94,25.92,21.69,34.56,31.10,46.53,,
Calc annual,43.87,31.48,24.10,33.27,28.94,25.92,21.69,34.56,31.10,46.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
