MAIDSTONE-BOXLEY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ763568,Long,0.52661517,Lat,51.283056,Elevation,170,ft,,,,,,,,,,,,
Station no,363/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,1.34,3.27,5,2.06,,,,,,
February,,,,,,,,,,,0.93,1.31,1.35,1.94,,,,,,
March,,,,,,,,,,2.42,1.93,1.6,2.15,1.51,,,,,,
April,,,,,,,,,,1.27,0.42,2.31,1.61,0.9,,,,,,
May,,,,,,,,,,4.31,0.88,1.16,4.52,1.1,,,,,,
June,,,,,,,,,,1.03,0.16,2.43,2.93,3.14,,,,,,
July,,,,,,,,,,0.17,1.18,3.27,3.08,1.52,,,,,,
August,,,,,,,,,,0.99,2.94,1.1,1.62,1.7,,,,,,
September,,,,,,,,,,3.46,2.04,4.28,1.86,2.65,,,,,,
October,,,,,,,,,,2.45,3.45,0.76,3.89,3.12,,,,,,
November,,,,,,,,,,1.92,1.05,0.82,6.13,,,,,,,
December,,,,,,,,,,3.69,3.24,1.54,5.37,,,,,,,
Total,,,,,,,,,,,19.56,23.85,39.51,,,,,,,
