MAIDSTONE-BOXLEY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ767571,Long,0.53249313,Lat,51.285627,Elevation,230,ft,,,,,,,,,,,,
Station no,363/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.41,2.27,1.87,1.03,1.37,3.53,,,,,
February,,,,,,,,,,4.11,5.72,0.79,1.28,2.12,1.91,,,,,
March,,,,,,,,,,1.14,3.17,4,0.16,2.31,1.01,,,,,
April,,,,,,,,,,2.22,1.98,0.75,1.93,0.32,0.43,,,,,
May,,,,,,,,,1.71,1.83,2.14,0.75,1.91,1.78,3.79,,,,,
June,,,,,,,,,0.45,0.47,1.4,1.16,1.88,3.62,2.32,,,,,
July,,,,,,,,,0.27,2.44,2.02,0.71,2.94,2.22,3.94,,,,,
August,,,,,,,,,1.2,2.85,4,3.15,1.73,2.99,0.97,,,,,
September,,,,,,,,,0.98,2.4,3.6,3.12,3.22,1.53,2.05,,,,,
October,,,,,,,,,6.92,0.1,1.02,2.36,2.18,1.72,4.89,,,,,
November,,,,,,,,,2.77,4.99,4.26,4.75,2,5.59,0.93,,,,,
December,,,,,,,,,1.24,2.01,2.43,3.1,0.68,1.87,,,,,,
Total,,,,,,,,,,25.97,34.01,26.51,20.94,27.44,,,,,,
