"PRESTWICH RESERVOIR",,,,,,,,,,,,
Grid ref,SD812030,Long,-2.285038,Lat,53.523327,,,,,,,
Station no,2839,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.83,2.52,2.23,2.43,2.47,1.80,4.60,1.58,2.85,1.77,,
February,2.53,1.35,1.12,2.98,3.05,1.58,2.73,1.75,2.64,1.45,,
March,0.41,2.51,1.65,3.31,1.72,3.28,2.96,3.15,2.55,2.95,,
April,2.27,2.57,2.31,1.88,1.90,2.65,1.88,1.08,2.35,3.36,,
May,1.65,0.80,3.11,3.13,2.55,0.53,2.58,3.45,2.54,1.80,,
June,2.85,2.32,0.92,1.47,1.03,1.92,1.43,6.27,1.67,1.80,,
July,2.44,3.23,2.37,3.68,1.08,2.42,1.26,3.33,4.51,5.26,,
August,5.89,1.96,2.61,4.24,4.20,4.40,3.69,4.04,3.11,3.02,,
September,1.22,0.80,1.33,5.13,1.27,3.33,1.54,0.83,3.09,2.10,,
October,5.32,2.98,4.35,7.23,1.79,3.02,5.87,3.46,1.35,4.91,,
November,2.83,4.42,1.87,3.87,2.62,3.62,2.72,2.66,2.50,1.10,,
December,4.48,3.75,2.35,1.42,2.75,0.54,3.55,3.16,2.28,6.35,,
Total,36.72,29.21,26.22,40.77,26.43,29.09,34.81,34.76,31.44,35.87,,
Calc annual,36.72,29.21,26.22,40.77,26.43,29.09,34.81,34.76,31.44,35.87,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
