"PRESTWICK RESERVOIR",,,,,,,,,,,,
Grid ref,SD812032,Long,-2.285050,Lat,53.525124,,,,,,,
Station no,2839/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.40,4.64,1.82,4.14,2.57,5.75,3.50,3.67,2.94,5.16,,
February,2.04,1.22,1.78,3.56,2.22,1.22,2.53,6.03,0.61,2.19,,
March,4.86,2.82,2.23,2.75,2.09,1.58,3.74,2.43,1.74,0.91,,
April,2.56,3.89,3.03,0.85,2.62,3.30,0.78,1.34,2.89,2.24,,
May,2.19,2.17,2.13,3.44,3.26,1.68,1.70,3.82,1.30,1.95,,
June,0.71,3.33,2.43,4.00,3.54,3.07,2.12,4.81,2.51,2.20,,
July,3.18,2.31,5.72,5.94,1.15,7.26,5.96,4.95,3.40,6.84,,
August,5.14,3.43,5.25,6.02,1.16,11.30,4.86,7.04,0.38,5.80,,
September,3.29,3.81,3.99,4.86,2.82,3.46,6.67,6.15,0.27,3.18,,
October,1.31,4.17,2.06,7.51,2.13,2.93,4.95,3.23,4.17,4.65,,
November,8.28,2.81,4.52,5.80,2.05,1.92,1.73,1.42,4.14,5.60,,
December,7.18,4.29,1.54,6.39,5.99,4.10,4.66,3.96,5.78,4.17,,
Total,45.14,38.89,36.50,55.26,31.60,47.57,43.20,48.85,30.13,44.89,,
Calc annual,45.14,38.89,36.50,55.26,31.60,47.57,43.20,48.85,30.13,44.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
