"MINAFON",,,,,,,,,,,,
Grid ref,SH711465,Long,-3.922219,Lat,53.000261,,,,,,,
Station no,4335/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,9.31,5.00,7.71,5.39,6.19,10.40,8.15,6.65,,,
February,,4.68,6.22,5.49,4.05,1.40,5.12,13.61,2.70,,,
March,,5.92,3.85,5.58,1.90,6.07,9.30,2.75,3.59,,,
April,,3.53,5.54,2.86,7.67,3.09,1.42,6.40,6.16,,,
May,,2.93,3.82,5.12,6.18,4.33,3.13,6.35,1.11,,,
June,,7.81,3.36,5.94,9.44,4.46,4.36,4.44,2.52,,,
July,,2.80,10.39,13.89,1.75,10.09,13.22,5.97,5.34,,,
August,,5.87,9.19,10.22,1.83,13.71,10.14,6.39,2.02,,,
September,,7.37,8.46,11.03,4.66,6.52,12.58,10.79,0.95,,,
October,,6.95,3.31,16.95,5.89,6.01,16.37,10.27,,,,
November,,5.84,12.40,11.54,3.59,3.83,3.56,2.79,,,,
December,,9.10,3.17,10.94,8.45,7.94,10.20,6.86,,,,
Total,,72.11,74.71,107.27,60.80,73.64,99.80,84.77,,,,
Calc annual,0.00,72.11,74.71,107.27,60.80,73.64,99.80,84.77,31.04,0.00,,
Difference,NaN,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
