CHATTERIS-PUDDOCK-BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL351880,Long,-0.012406,Lat,52.473221,Elevation,5,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1217/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.17,1.2,,2.01,3.81,1.51,1.17,0.8,1.38,3.05,1,1.06,2.26,1.22,1,0.77,1.51,3.37,1.05,2.23,2.68,2.29
February,,,,,,,,,0.42,1.73,,0.82,0.32,0.88,1.28,1.47,0.82,0.6,0.56,3.08,2.43,0.37,1.39,1.87,1.82,0.64,1.98,2.91,0.15,1.09
March,,,,,,,,,1.23,1.96,,1.22,0.79,0.13,0.47,0.61,4.15,0.47,0.82,0.46,2.84,2.34,0.84,2.35,1.37,0.44,1.57,1.09,1.51,1.26
April,,,,,,,,,1.95,1.12,,0.45,0.64,1.51,0.78,0.96,1.55,0.83,1.3,,2.38,1.38,1.75,0.21,0.54,1.12,0.23,0.87,1.28,0.26
May,,,,,,,,,0.66,0.96,,2.18,1.79,0.92,1.88,1.58,0.71,3.97,2.41,3.55,2.99,2.23,1.86,2.76,3.03,0.88,1.29,2.4,0.39,0.75
June,,,,,,,,,1.52,0.39,,0.64,1.78,1.25,1.74,2.16,2.12,1.73,0.61,1.44,1.01,0.81,3.02,1.96,2.88,2.65,1.64,5.26,0.38,1.81
July,,,,,,,,,2.57,3.66,2.01,2.49,1.19,2.51,1.31,1.97,1.92,1.51,2.18,5.34,0.62,0.51,1.98,2.15,0.12,4.6,2.75,2.92,1.94,3.12
August,,,,,,,,,2.28,0.07,4.17,2.67,1.68,2.16,1.69,2.69,0.12,,1.07,2.17,3.57,2.75,2.69,4.07,0.93,5.06,1.92,2.6,1.16,2.14
September,,,,,,,,,0.39,0.35,0.7,1.06,1.29,2.63,1.71,2.6,0.95,2.22,0.47,2.68,1.87,1.88,0.8,2.12,1.16,1.57,4.43,3.1,0.02,2.94
October,,,,,,,,1.96,4.72,1.23,1.21,2.03,1.04,2.63,2.58,0.99,0.2,3.19,3.15,0.44,0.99,1.97,2.06,2.16,1.58,1.47,1.34,1.9,1.61,4.14
November,,,,,,,,1.55,2.82,4.71,2.49,2.56,1.43,2.3,0.14,3.3,,1.47,2.15,3.44,3.44,2.79,1.17,3.44,0.91,0.96,1.4,1.29,1.29,3.43
December,,,,,,,,2.69,1.12,1.37,0.69,1.62,0.65,0.7,2.05,2.05,1.79,,1.45,1.06,1.26,1.4,0.66,1.99,1.34,1.85,1.85,2.08,3.15,2.8
Total,,,,,,,,,22.85,18.75,,19.75,16.41,19.13,16.8,21.18,,,17.17,,25.66,19.65,19.22,25.85,17.19,24.61,21.45,28.65,15.56,26.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Aug Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
