"CHATTERIS (PUDDOCK BRIDGE)",,,,,,,,,,,,
Grid ref,TL351880,Long,-0.012406,Lat,52.473221,,,,,,,
Station no,1217/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.26,1.22,1.00,0.77,1.51,3.37,1.05,2.23,2.68,2.29,,
February,2.43,0.37,1.39,1.87,1.82,0.64,1.98,2.91,0.15,1.09,,
March,2.84,2.34,0.84,2.35,1.37,0.44,1.57,1.09,1.51,1.26,,
April,2.38,1.38,1.75,0.21,0.54,1.12,0.23,0.87,1.28,0.26,,
May,2.99,2.23,1.86,2.76,3.03,0.88,1.29,2.40,0.39,0.75,,
June,1.01,0.81,3.02,1.96,2.88,2.65,1.64,5.26,0.38,1.81,,
July,0.62,0.51,1.98,2.15,0.12,4.60,2.75,2.92,1.94,3.12,,
August,3.57,2.75,2.69,4.07,0.93,5.06,1.92,2.60,1.16,2.14,,
September,1.87,1.88,0.80,2.12,1.16,1.57,4.43,3.10,0.02,2.94,,
October,0.99,1.97,2.06,2.16,1.58,1.47,1.34,1.90,1.61,4.14,,
November,3.44,2.79,1.17,3.44,0.91,0.96,1.40,1.29,1.29,3.43,,
December,1.26,1.40,0.66,1.99,1.34,1.85,1.85,2.08,3.15,2.80,,
Total,25.66,19.65,19.22,25.85,17.19,24.61,21.45,28.65,15.56,26.03,,
Calc annual,25.66,19.65,19.22,25.85,17.19,24.61,21.45,28.65,15.56,26.03,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
