"KINTYRE, BUNAWE COTTAGE, TARBERT",,,,,,,,,,,,,,,,,,,,
Grid ref,NR 86543 69275,Long,-5.413253,Lat,55.869229,Elevation,150,ft,,,,,,,,,,,,
Station no,RR8283,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,8.9,7.7,9.9,5.45,7.7,9,8.24,6.98,,,,,,,,
February,,,,,6.6,7.7,7.3,5.9,6.5,4.2,9.5,11.34,,,,,,,,
March,,,,,4.2,7.3,5.7,7.2,7.65,2,3.38,2.52,,,,,,,,
April,,,,,9.6,4,3.4,3.8,2.5,5.28,6.62,5.61,,,,,,,,
May,,,,,4.4,2.3,7.1,5.4,3,3.88,5.06,4.04,,,,,,,,
June,,,,,2.3,1.6,1.4,5.4,3.4,2.63,2.01,2.69,,,,,,,,
July,,,,5.4,3.45,3.75,3.7,3.1,4.7,7.36,3.92,5.3,,,,,,,,
August,,,,10.4,5.35,7.4,5,8,6,4.85,8.46,4.21,,,,,,,,
September,,,,4.9,7,5.6,4.5,2.5,8.9,3.24,2.44,3.28,,,,,,,,
October,,,,11.04,4.3,7.1,10.35,6.2,2.5,8.26,3.42,4.8,,,,,,,,
November,,,,6.05,6.9,9.1,6.8,7.1,6,5.23,6.82,8.7,,,,,,,,
December,,,,6,6.9,6.6,9,8.4,7.8,7.76,8.55,11.18,,,,,,,,
Total,,,,,69.9,70.15,74.15,68.45,66.65,63.69,68.42,70.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location approximate,,,,,,,,,,,,,,,,,,,,
Area of Cottage identified from  Valuation rolls,,,,,,,,,,,,,,,,,,,,
S Knapsdale but not found on map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8283,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn ,,,,,,,,,,,,,,,,,,,,
