"KINTYRE, BUNAWE COTTAGE, TARBERT",,,,,,,,,,,,
Grid ref,NR872683,Long,-5.402015,Lat,55.860775,,,,,,,
Station no,RR8283,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,8.90,7.70,9.90,5.45,7.70,9.00,,
February,,,,,6.60,7.70,7.30,5.90,6.50,4.20,,
March,,,,,4.20,7.30,5.70,7.20,7.65,2.00,,
April,,,,,9.60,4.00,3.40,3.80,2.50,5.28,,
May,,,,,4.40,2.30,7.10,5.40,3.00,3.88,,
June,,,,,2.30,1.60,1.40,5.40,3.40,2.63,,
July,,,,5.40,3.45,3.75,3.70,3.10,4.70,7.36,,
August,,,,10.40,5.35,7.40,5.00,8.00,6.00,4.85,,
September,,,,4.90,7.00,5.60,4.50,2.50,8.90,3.24,,
October,,,,11.04,4.30,7.10,10.35,6.20,2.50,8.26,,
November,,,,6.05,6.90,9.10,6.80,7.10,6.00,5.23,,
December,,,,6.00,6.90,6.60,9.00,8.40,7.80,7.76,,
Total,,,,,69.90,70.15,74.15,68.45,66.65,63.69,,
Calc annual,0.00,0.00,0.00,43.79,69.90,70.15,74.15,68.45,66.65,63.69,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
