HARTFIELD-BEECHCROFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ464345,Long,0.08913,Lat,51.091133,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,573/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.25,7.98,4.89,6.47,2.24,2.92,3.17,5.95,2.63,1.86,3.35,2.86,5.88,1.72,1.49,3.9,3.49,2.06,1.71,3.51,6.26,3.14,4.24,,
February,,,,,,2.82,6.26,1.17,1.93,3.24,4.23,0.82,2.31,1.08,2.49,3.47,1.99,1.77,2.01,6.34,8.03,1.05,1.8,2.91,2.59,0.68,5.78,2.51,,
March,,,,,,1.63,4.36,0.73,1.68,3.76,3.3,3.34,0.36,0.1,1.87,1.56,6.91,1.15,1.03,1.84,4.61,3.12,0.36,3.8,1.45,1.09,1.65,2.34,,
April,,,,,,2.49,3.16,0.46,3.02,1.88,1.97,1.71,1.8,1.52,1.22,2.5,2.09,1.5,1.84,2.51,3.13,2.36,3.17,0.3,0.34,1.31,0.27,1.29,,
May,,,,,,0.91,2.77,2.78,1.66,1.88,2.61,3.35,3.01,0.92,2,2.33,1.67,2.74,1.79,1.76,2.18,1.45,1.92,2.43,5.13,0.41,1.46,2.34,,
June,,,,,,4.3,2.05,0.89,2.22,0.22,2.5,0.12,2.3,1.53,1.75,2.62,2.53,4.32,0.93,1.45,2.26,1.46,3.67,4.35,2.55,3.67,1.31,5.03,,
July,,,,,,4.24,1.2,1.97,3.34,3.37,3,2.09,2.6,2.26,5.35,1.95,2.25,1.47,0.26,3.16,2.91,0.87,3.86,2.74,1.33,3.63,3.54,2.06,,
August,,,,,,0.76,3.89,2.94,3.04,0.22,4.09,3.27,1.41,2.58,2.15,6.8,0.35,5.75,2.08,2.63,5.99,4.13,1.87,3.19,0.79,3.87,2.87,3.67,,
September,,,,,6.27,2.9,2.93,2.74,0.82,1.74,0.55,2.38,2.51,2.89,2.35,3.71,1.89,2.26,1.3,3.81,3.88,3.03,4.11,3.12,3.16,3.7,3.78,6.3,,
October,,,,,4.92,2.6,2.93,5.24,7.88,4.97,1.74,3.56,3.24,5.9,4.18,1.37,0.68,2.31,8.81,0.57,1.78,3.83,4.25,2.74,4.81,2.13,2.89,4.07,,
November,,,,,8.17,6.5,2.02,4.56,7.12,9.4,4.26,1.94,1.87,5.98,0.29,5.9,1.47,2.02,3.78,7.64,6.81,5.05,1.92,7.32,1.95,1.05,3.57,2.4,,
December,,,,,5.08,3.8,4.97,4.18,2.5,2.24,2.93,4.01,2.9,2.83,5.29,4.17,3.1,5.1,2.22,2.44,4.01,3.3,1.13,3.72,3.61,5.64,2.68,5.4,,
Total,,,,,,39.2,44.52,32.55,41.68,35.16,34.1,29.76,30.26,30.22,30.8,39.73,27.79,36.27,27.77,35.64,49.49,33.14,30.12,38.33,31.22,33.44,32.94,41.65,,
