"HARTFIELD (BEECHCROFT)",,,,,,,,,,,,
Grid ref,TQ464345,Long,0.089130,Lat,51.091133,,,,,,,
Station no,573/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,3.49,2.06,1.71,3.51,6.26,3.14,4.24,,,,
February,8.03,1.05,1.80,2.91,2.59,0.68,5.78,2.51,,,,
March,4.61,3.12,0.36,3.80,1.45,1.09,1.65,2.34,,,,
April,3.13,2.36,3.17,0.30,0.34,1.31,0.27,1.29,,,,
May,2.18,1.45,1.92,2.43,5.13,0.41,1.46,2.34,,,,
June,2.26,1.46,3.67,4.35,2.55,3.67,1.31,5.03,,,,
July,2.91,0.87,3.86,2.74,1.33,3.63,3.54,2.06,,,,
August,5.99,4.13,1.87,3.19,0.79,3.87,2.87,3.67,,,,
September,3.88,3.03,4.11,3.12,3.16,3.70,3.78,6.30,,,,
October,1.78,3.83,4.25,2.74,4.81,2.13,2.89,4.07,,,,
November,6.81,5.05,1.92,7.32,1.95,1.05,3.57,2.40,,,,
December,4.01,3.30,1.13,3.72,3.61,5.64,2.68,5.40,,,,
Total,49.49,33.14,30.12,38.33,31.22,33.44,32.94,41.65,,,,
Calc annual,49.49,33.14,30.12,38.33,31.22,33.44,32.94,41.65,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
