TOTNES-BROADHEMPSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX801662,Long,-3.6905,Lat,50.4836,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.82,1.97,2.01,5.09,0.95,5.54,8.87,1.53,4.33,3.06,1.3,4.19,6.87,7.81,4.42,5.36,1.76,,,,,,,
February,,,,,,,,2.21,2.51,0.6,6.81,3,4.91,2.18,5.98,8.09,7.26,0.91,2.25,6.57,1,0.24,4.54,8.08,,,,,,,
March,,,,,,,,1.13,4.1,6.42,0.94,3.51,6.78,5.69,7.65,1.43,4.11,5.3,2,5.25,4.09,2.31,4.35,2.19,,,,,,,
April,,,,,,,,6.38,3.05,2.2,2.15,2.02,0.18,5.39,2.05,1.28,0.89,1.68,2.16,1.88,4.47,0.69,5.05,3.65,,,,,,,
May,,,,,,,,4.9,1.98,1.08,2.95,0.98,1.67,3.25,1.9,3.51,1.87,2.28,1.29,0.87,1.06,2.92,0.75,1.77,,,,,,,
June,,,,,,,,2.56,0.52,4.48,2.01,2.07,4,0.85,0.89,1.93,2.24,2.7,0.91,0.91,1.9,0.06,0.61,0.33,,,,,,,
July,,,,,,,,1.48,2.38,2.63,2.94,0.91,2.54,0.59,3.59,4.16,0.51,1.93,4.55,1.22,3.96,0.78,4.43,1.48,,,,,,,
August,,,,,,,,1.49,5.57,2.61,4.45,0.93,8.5,0.48,3.04,2.22,4.97,5.64,1.82,2.78,1.54,1.78,3.23,1.47,,,,,,,
September,,,,,,,,1.29,2.58,1.65,0.3,2.05,1.38,3.76,2.51,1.04,2.31,1.88,7.37,2.12,1.74,1.27,2.66,2.94,,,,,,,
October,,,,,,,,9.2,2.5,8.17,6.09,5.24,5.96,3.94,3.87,5.91,6.94,5.26,2.75,1.13,3.19,1.56,1.86,7.99,,,,,,,
November,,,,,,,,5.22,1.37,1.02,5.68,5.81,2.47,5.42,5.43,3.72,5.36,1.79,2.85,3.55,2.39,3.83,3.05,3.26,,,,,,,
December,,,,,,,,5.82,5.61,7.21,8.46,11.57,7.17,2.76,10.49,11.81,4.86,1.27,5.63,6.08,6.26,2.18,5.63,,,,,,,,
Total,,,,,,,,43.5,34.14,40.08,47.87,39.04,51.1,43.18,48.93,49.43,44.38,31.94,37.77,39.23,39.41,22.04,41.52,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 July Aug Corrected for date of reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Dec Bracketed Last month of readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
