CIRENCESTER FURTHER BARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP009012,Long,-1.9872,Lat,51.7104,Elevation,423,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.6,1.9,4.65,2.77,1.22,1.92,2.01,4.05,5.7,4.1,2.98,0.43,3.35,3.03,0.6,1.5,4.52,1.45,2.7,3.3,1.82,4.21,4.13,5,4.68,5.6,2.45,1.86,5.75,3.85,3.44,5.62,1.87,4.7,2,4.31,,,,,3.88,,2.7,,,
February,,,,,3.8,1,1.4,2.4,4.05,1.75,2.03,0.85,1.7,1.05,0.96,1.25,2.1,1.55,1,2.11,1.2,2.95,0.35,0.72,1.93,2.5,4.04,2,2.03,3.37,1.8,1.72,3.1,1.77,2.44,1.75,4.19,1.95,2.05,5.59,,,,,4.67,,4.05,,,
March,,,,,1.7,1.3,1.87,1.8,3.2,0.9,0.91,4.6,0.5,1,0.63,2.64,1.58,1.95,0.9,2.42,2.27,2.9,4.7,1.25,3.08,1.4,1.4,3.49,2.56,1.6,1.76,1.65,2.68,3.25,1.02,0.9,3.8,2.73,1.75,1.2,,,,,1.35,,1.2,,,
April,,,,,0.2,1.9,3.65,1.58,3.5,3.1,4.33,1.13,0.7,2.56,0.25,0.6,3.33,2.6,5.25,2.7,1,0.65,2.22,1.23,1.4,1.25,2.15,3.33,2.2,1.42,0.68,3.65,2,0.85,1.5,2.17,3.15,3.32,3.28,2.55,,,,,1.49,,2.01,,,
May,,,,,0.1,2.5,2.21,2.3,0.45,3.35,3.5,1.45,2,3.4,2.9,2.08,3.95,1.76,2.65,1.25,3.85,1.15,3.95,1.4,1.5,1.92,0.73,2.98,1.71,4.09,1.8,1.7,2.02,2.7,0.82,2.4,0.78,2.48,5.38,3.15,,,,,1.73,,2.53,,,
June,,,,,0.7,3.6,1.1,2.9,4.9,1.72,1.09,2.63,6.82,3.8,1.73,2.58,1.27,2.92,3.18,2.78,5.92,2.65,2.97,5.32,1.35,2.05,4.15,1.88,0.31,1.52,0.75,3,3.24,2.53,1.38,2.99,1.4,1.47,2.88,5.27,,,,,4.51,,1.76,,,
July,,,,,2,2.8,2.15,1.43,3.08,1.2,5.31,1.74,3.15,3.96,3.16,4.85,1.3,2.47,2,1.65,1.75,3.94,2.08,0.5,0.88,5.5,2.1,4.29,0.71,0.72,1.81,4.31,5.73,2.84,1,5.67,1.09,3.65,1.05,5.33,,,,,3.84,,,,,
August,,,,,1.7,2.97,4.45,0.92,2.9,0.93,1.8,2.9,5.67,3.72,0.9,2.05,4.2,1.3,1.97,2.48,5.03,0.9,2.25,3.65,1.24,4,4.54,2.57,4.02,1.51,2.74,2.78,4.01,2.84,3.12,1.09,2.98,5.32,4.3,7.6,,,,,1.27,,,,,
September,,,,,1.8,3.15,1.45,2.6,4.42,3.8,2.7,0.5,5.48,1.87,0.7,2.27,3.95,1.8,2.94,3.4,3.35,3.16,3.87,3,3.68,0.08,7.1,1.6,2.89,6.55,1.22,6.7,1.33,1.64,5.78,2.92,5.96,2.35,1.88,3.1,,,,,4.91,,,,,
October,,,,,3.25,1.5,6.25,5.83,5.05,2.44,1.47,2.67,3.88,4.23,2.72,5.6,3.35,3.75,1.76,2.95,2,1.74,4.72,3.75,2.25,6.46,2.15,3.5,2.64,2,4.54,2.3,3.95,2.44,3.84,7.9,1.58,2.55,4.38,0.98,,,,,3.01,,,,,
November,,,,,4.55,3,1.7,2.54,1.64,1.7,3.17,0.64,8.95,2.2,1.52,0.45,1.1,1.25,0.83,2.77,3,4.1,0.55,2.1,3.3,3.67,2.03,1.05,2.23,2.85,2.26,0.4,5.04,2.21,3.24,5.13,4.3,4.35,4.04,0.1,,,,,3.98,,,,,
December,,,,,0.55,3.3,1,3.85,3.63,3.1,2.85,1.65,4.3,1,1.48,1.3,2.92,0.84,2.56,2.95,3.05,1.8,2.1,1.73,2.25,2.78,3.45,2.01,6.7,5.3,2.2,2.33,4.2,0.9,3.25,1.75,7.8,2.85,2.4,0.7,,,,,0.55,,,,,
Total,,,,,21.95,28.92,31.88,30.92,38.04,25.91,31.17,24.81,48.85,32.89,19.93,26.1,32.4,25.22,25.64,28.96,36.94,27.39,32.46,27.95,24.68,35.82,37.97,33.7,32.68,36.53,24.01,32.4,43.05,27.82,30.83,40.29,38.9,37.72,35.39,39.88,,,,,35.19,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1848 Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1859 Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1879 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that Met Off Grid ref (SP012038) on record sheets is approx 2.5km from Further Barton but at a similar elevation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
