CIRENCESTER FURTHER BARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP009012,Long,-1.9872,Lat,51.7104,Elevation,423,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.77,0.98,1.52,3.33,-999,2.73,4.72,2.68,0.88,0.9,3.33,2.96,1.29,2.39,3.04,3.12,0.73,2.27,0.45,4.22,3.29,1.43,1.41,3.48,3.99,0.94,4.58,1.23,1.55,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.27,3.58,1.92,4.31,-999,4.02,0.88,0.79,1.85,1.75,0.63,0.02,1.54,3.08,2.41,0.12,0.41,3.6,1.32,3.39,5.82,1.04,1.37,1.69,4.98,0.87,2.09,1.72,1.19,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.93,2.04,1.43,1.1,-999,1.14,2.71,1.67,3.61,3.1,1.09,1.62,0.71,0.26,2.68,2.53,2.77,4.04,0.58,0.55,1.03,2.33,2.04,4.16,1.6,4.53,2,1.23,2.96,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.86,0.85,3.88,1.26,-999,1.73,1.96,1.33,1.67,2.84,1.66,1,0.95,0.05,2.56,2.36,0.93,2.22,1.96,1.87,1.01,3.15,2.08,2.45,1.47,2.7,0.89,3.32,2.88,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.66,1.06,2.15,1.41,-999,2.64,4.64,1.73,2.27,3.22,2.38,3.83,1.05,1.46,1.86,1,0.32,1.14,3.13,2.4,1.91,1.37,2.15,5.08,3.13,0.32,2.23,2.57,2.19,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.04,2.56,3.91,3.98,-999,1.84,1.39,1.31,2.66,0.96,2.57,1.39,2.65,0.98,2.3,0.94,2.17,3.13,0.97,1.91,2.38,2.28,2.93,4.87,1.18,4.3,3.35,2.65,0.9,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,6.5,2.37,5.46,3.38,-999,0.59,3.35,1.01,4.76,2.87,3.68,3.95,3.3,3.12,2.81,3.87,0.65,1.95,0.79,1.1,1.36,2.78,1.06,3.65,3.47,0.58,1.45,3.65,2.13,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.22,4.83,2.65,0.95,-999,2.26,1.91,1.62,2.18,3.45,2.21,6.12,3.06,2.3,2.45,2.92,2.34,5.47,2.87,1.68,4.11,2.55,3.9,3.76,2.79,4.67,1.23,2.38,4.01,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.96,2.22,2.9,4.52,1.6,4.99,2.83,2.18,1.14,1.81,1.23,2.06,2.71,0.7,3.58,0.84,6.93,2.47,0.97,2.75,0.5,3.06,1.89,3.71,2.98,1.62,0.74,0.76,2.34,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.63,1.76,5.86,2.56,-999,3.44,4.57,2.57,0.9,2.24,1.64,8.46,3.13,3.07,5.3,2.91,3.96,1.77,4,3.04,3.2,1.78,2.38,7.61,0.71,1.73,5.58,6.46,1.81,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.44,3.5,3.8,3.47,-999,5.88,2.94,2.61,5.77,1.71,2.49,2.47,2.67,2.19,5.42,5.92,0.88,1.68,2.87,3.06,2.82,1.01,2.62,2.79,1.93,3.94,3.29,2.45,1.52,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.32,2.75,2.86,1.15,-999,1.41,4.58,2.08,3.66,1.91,0.79,3.99,1.04,2.9,3.1,2.44,3.56,4.53,3.39,2.78,6.38,5.28,2.7,1.94,2.17,0.96,2.45,4.72,2.64,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,34.6,28.5,38.34,31.42,28.5,32.67,36.48,21.58,31.35,26.76,23.7,37.87,24.1,22.5,37.51,28.97,25.65,34.27,23.3,28.75,33.81,28.06,26.53,45.19,30.4,27.16,29.88,33.14,26.12,33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 - months (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that Met Off Grid ref (SP012038) on record sheets is approx 2.5km from Further Barton but at a similar elevation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
