EXETER AIRPORT,,,,,,,,,,,,
Grid ref,SX995937,Long,-3.425475,Lat,50.734191,,,,,,,
Station no,1774/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,2.27,0.43,1.57,4.65,3.06,2.66,2.62,3.78,3.35,,
February,4.57,0.44,1.38,2.78,2.34,0.19,4.74,3.37,0.32,3.92,,
March,3.93,2.60,0.70,2.90,1.41,1.06,3.03,1.23,4.35,2.06,,
April,1.75,2.54,2.71,0.03,1.06,0.70,0.04,0.39,2.54,2.81,,
May,2.35,2.69,2.67,1.91,2.87,0.65,1.91,2.16,1.14,1.79,,
June,0.99,1.13,1.63,3.86,2.55,1.15,3.26,3.57,1.11,0.66,,
July,1.64,0.89,2.00,2.37,2.24,2.34,2.03,2.03,2.25,3.41,,
August,3.08,3.78,2.15,3.11,0.17,2.32,2.15,3.11,3.17,3.48,,
September,3.77,2.20,2.81,2.10,0.76,6.37,1.98,3.19,0.17,5.79,,
October,1.18,4.42,2.67,1.85,1.39,1.39,1.71,2.85,2.48,12.35,,
November,5.65,3.55,2.07,7.74,4.13,1.29,2.06,2.81,7.25,3.53,,
December,2.51,2.65,0.77,3.17,4.43,5.75,2.60,4.44,6.77,3.03,,
Total,34.45,29.16,21.99,33.39,28.00,26.27,28.17,31.77,35.33,46.18,,
Calc annual,34.45,29.16,21.99,33.39,28.00,26.27,28.17,31.77,35.33,46.18,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
