GREENOCK W.W. ( CREUCH HILL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS267688,Long,-4.772069,Lat,55.881083,Elevation,1350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.9,13.7,9.1,11.5,4.5,6.8,11.2,10.5,5.6,4.7,2.9,10.8,11.3,9.3,4.5,11.9,10.5,11.4,8.8,6.2,6.9,7.6,5.2,9,5.3,5.7,9.7,9.4,3,6.5
February,6.4,0.1,7.2,2.5,9.3,4.8,6.3,4.5,9.6,3.4,6.9,2.5,8,3.3,9.5,6.2,2,7.4,9.5,8.1,4.6,2.8,3.7,8,4.8,2.5,5.9,5.5,3.1,7.8
March,2.7,2.9,5.1,3.1,4.2,5.7,3.2,9.1,5.2,7.9,3.6,7.2,3.7,1.8,5.3,4,5,8.1,4.2,5.3,5.1,6.3,1.7,5.9,2.6,3.9,8.7,2.3,5.9,4.9
April,3.3,6.7,5.2,6.2,5.2,2.4,4.8,1.4,4.7,4.6,4,4.1,6.5,4.9,3.1,4.1,10,5.1,9.4,5,4.7,4.2,3.5,4.5,5.9,2.5,3.3,3,6.9,9.2
May,6.7,4,5.5,5.1,0.8,3.5,2.5,4.8,2.5,1.6,3.3,5.6,4.8,6.5,6.6,1.8,6.4,2.9,3.9,2.4,2.7,2.7,3.2,5,5,5.7,3,5.8,2,4.9
June,10.9,3.6,3.2,4.8,6.2,2.7,5,9,3,2.2,2.3,3.8,6,6.7,6.3,5.3,5.1,7.9,1.8,3.2,2.7,4.9,1.7,7.2,5.1,5.2,3.2,4.9,5.1,4.8
July,6.3,6.6,5.8,4.8,3.2,9.2,4.6,7.3,8.4,4.7,5.2,6.9,3.4,7,6.5,5.2,7.3,7.9,3.1,7.4,5.2,4.4,6.5,5.9,1.9,7.5,7.9,8.4,8.7,7.8
August,3.8,5.1,6.3,7.9,3.8,4.7,4.9,4.7,3,5.1,7.5,9.6,12.4,5.3,3.9,4,0.1,10.3,6.5,8.4,5.8,8.6,6.8,8.3,2.3,8.1,7.2,6.8,2.8,4.7
September,3.6,7.6,1.5,9.6,9.9,6.3,5.8,7.9,4.7,7.3,2.9,9.8,6.9,8.9,8.5,10.5,7.9,10.5,3.7,13.7,6.5,5.5,11,11.2,7.3,7.5,5.8,6.7,2.2,4.7
October,7.4,10.7,4.7,12.1,14.6,8.3,4.5,14.4,6.1,10.4,8.4,10.6,14,9.2,10.5,0.9,4.1,11.4,9.3,8.1,2.5,9.7,5.7,14.1,7.5,4.1,8.7,6.9,8.4,5.8
November,12.3,6,4.8,4,7.2,5.8,2.1,14.1,13.8,11,8.1,1.8,4.7,10.1,1.7,9.6,10.9,7.5,8.7,5.9,9.7,2.8,12.7,12.5,4.4,4.1,4.1,3.1,9.8,8.9
December,8.4,13.9,2.4,14.1,5.5,10.5,5.1,8,5,10,5.6,13.5,4.3,9,7.2,8.2,4.7,10,13.8,2.6,12.5,6.9,8.2,9.8,12.3,10.5,8.9,9.5,13.9,9.4
Total,80.7,80.9,60.8,85.7,74.4,70.7,60,95.7,71.6,72.9,60.7,86.2,86,82,73.6,71.7,74,100.4,82.7,76.3,68.9,66.4,69.9,101.4,64.4,67.3,76.4,72.3,71.8,79.4
