NANTWICH (BEAM BRIDGE),,,,,,,,,,,,
Grid ref,SJ651533,Long,-2.522390,Lat,53.075780,,,,,,,
Station no,2762/5/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.16,3.00,0.88,1.61,2.20,4.15,1.38,,3.20,5.24,,
February,2.23,1.12,1.64,2.44,1.79,0.44,2.13,,0.29,2.22,,
March,4.93,1.11,0.97,2.33,2.48,1.27,2.17,,1.60,1.28,,
April,1.70,2.56,2.78,0.42,1.70,1.98,0.32,,3.62,1.41,,
May,3.15,2.06,1.46,2.22,2.66,0.54,1.38,,1.51,1.79,,
June,1.03,2.10,1.78,4.72,3.27,1.81,1.69,,1.93,2.81,,
July,1.83,2.09,3.14,3.57,0.55,3.57,5.70,,1.94,3.49,,
August,3.53,1.67,2.47,3.17,1.00,6.52,4.07,,0.74,3.96,,
September,2.01,2.13,2.23,2.65,2.51,2.10,5.52,,0.13,3.65,,
October,0.92,3.63,1.82,5.02,1.83,2.26,2.38,,2.47,4.11,,
November,6.30,1.62,1.66,4.82,1.63,0.97,1.45,,2.89,4.61,,
December,3.57,3.26,1.20,3.53,2.98,2.41,1.47,,4.45,2.72,,
Total,33.36,26.35,22.03,36.50,24.60,28.02,29.66,,24.77,37.29,,
Calc annual,33.36,26.35,22.03,36.50,24.60,28.02,29.66,0.00,24.77,37.29,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
