BUXTED PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ485227,Long,0.114994,Lat,50.984995,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,510/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,1.81,1.49,2.44,0.4,4.12,5.38,4.44,2.39,0.37,2.57,4.01,1.08,3.1,4.7,0.61,2.04,4.22,1.13,5.14,6.88,3.85,5.39,,,,,3.41,2.1,4.05,1.06,7.1,1.59,3.19,0.49,1.57,,,,,,,,,,,,,,2.81,1.17,2.19,0.75,3.44,3.75,0.87,1.17,2.46,4.68,1.42,5.03,1.4,2.41,1.34,3.44,1.41,2.63,5.83,1.1,4.21,1.96,1.56,4.18,6.46,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,
February,,,,,,,,1.73,3,2.65,2.27,1.1,1.71,0.59,0.81,1.49,1.54,0.37,1.06,2.37,1.34,1.82,0.67,0.94,0.98,2.07,5.91,1.93,1.32,,,,,2.24,1.85,1.23,2.94,2.36,2.06,4.31,3.26,4.32,,,,,,,,,,,,,,0.78,0.25,2.96,1.51,2.84,5.74,1.64,1.52,1.71,3.58,0.82,2.77,1.57,1.41,0.38,4.66,1.98,2.89,1.27,4.93,5.87,5.24,1.21,1.12,2.68,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,
March,,,,,,,,0.67,2.25,0.79,0.2,3.78,0.52,1.83,0.21,2.73,1.46,2.16,1.12,1.75,3.35,3.09,4.25,0.59,3.38,2.04,2.08,3.04,1.59,,,,,2.25,0.73,0.89,3.3,2.78,1.66,0.99,1.04,2.68,,,,,,,,,,,,,,2.33,3.29,4.49,1.41,0.88,0.89,2.13,1.79,3.31,1.09,4.43,1.97,1.02,2.95,4.2,1.73,3.22,5.63,3.64,6.15,0.81,4.63,2.04,1.4,4.92,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
April,,,,,,,,0.69,4.19,3.87,3.44,2.45,0.58,3.02,0.33,0.36,4.59,2.09,2.31,2.29,3.07,0.7,1.54,0.77,0.91,0.38,1.39,2.07,2.86,,,,,0.44,2.35,0.98,2.66,2.76,3.29,3.41,1.8,0.52,,,,,,,,,,,,,,2.14,0.79,2.42,1.04,2.58,1.08,2.89,0.9,2.17,1.05,2.37,1.19,3.4,2.11,1.59,2.21,2.08,0.1,4.53,1.88,1.92,1.68,2.3,4.14,3.78,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,
May,,,,,,,,1.63,0.82,2.91,2.87,0.53,2.75,1.61,3.82,2.48,4.02,1.48,2.19,0.57,4.36,1.76,2.33,1.83,1.82,3.32,0.91,1.72,1.24,,,,,-999,0.75,1.43,0.98,2.18,4.3,3.4,0.21,2.31,,,,,,,,,,,,,,0.14,0.47,1.48,3.45,1.47,0.77,1.12,2.69,2.72,2.6,0.97,1.85,2.21,1.79,1.22,2.41,0.9,1.53,1.45,0.97,4.52,2.13,1.82,2.33,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,
June,,,,,,,,1.77,3.77,0.95,1.91,1.78,7.61,2.07,2.21,1.45,1.53,3.61,0.18,1.51,5.2,2.65,1.96,3.67,0.98,1.39,2.95,1.89,0.62,,,,,-999,2.14,3.74,1.99,1,1.69,3.65,2.08,2.28,,,,,,,,,,,,,,0.36,2.97,2.45,1.55,0.67,2.74,1.12,2.65,3.03,1.74,4.32,2.47,2.24,1.28,2.43,2.01,2.26,3.31,0.87,1.06,0.96,2.68,2.54,1.86,0.77,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,
July,,,,,,,,0.22,2.8,2.29,3.17,3.34,0.34,4.09,2.75,3.27,2.35,1.73,3.76,1.66,3.1,3.63,1.47,0.89,0.55,4.06,3.06,5.36,3.24,,,,,-999,0.55,3.86,0.57,3.66,0.74,3.7,3.8,0.94,,,,,,,,,,,,,,3.65,1.12,0.79,0.36,1.46,1.19,3.33,1.82,3.21,1.3,0.53,0.77,1.45,3.51,2.71,2.7,0.46,1.85,3.17,1.45,5.19,1.39,2.87,5.41,1.88,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,
August,,,,,,,,1.08,5.97,0.8,3.35,1.74,5.89,3.57,1.81,0.91,2.29,3.67,1.74,1.68,5.53,1.06,2.14,1.92,1.76,4.2,2.88,2.18,3.52,,,,,3.14,2.4,1.58,3.63,3.64,4.3,4.74,0.93,5.63,,,,,,,,,,,,,,2.42,1.62,3.47,1.34,0.37,1.96,1.6,5.4,4.58,0.93,3.57,1.68,1.87,5.51,2.53,3.08,0.96,8.32,2.04,1.31,2.17,2.99,6.95,1.81,3.65,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,,,,
September,,,,,,,,1.87,2.56,3.58,2.45,0.26,7.39,2.69,1.6,0.97,5.87,4.81,1.34,4.33,4.76,4.76,2.33,3.64,3.02,0.02,7.3,2.36,3.69,,,,,3.21,3.09,1.79,4.76,1.15,1.81,3.26,4.05,3.28,,,,,,,,,,,,,,0.73,8.19,3.3,0.67,2.72,0.98,1.16,0.46,2.68,2.32,2.56,1.62,1,1.19,3.16,0.43,1.67,3.31,3.17,1.7,3.88,1.77,1.69,8.07,1.97,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,
October,,,,,,,,1.57,6.08,5.07,1.78,3.99,7.83,7.03,4.75,6.15,1.75,5.37,1.84,4.26,3.31,2.28,6.94,3.15,2.02,11.98,1.74,3.35,3.54,,,,5.05,4.94,4.39,4.78,1.11,4.07,4.19,0.82,6.34,2.54,,,,,,,,,,,,,,2.77,5.38,0.4,3.36,2.64,2.24,2.32,2.36,6.68,2.47,2.34,4.98,5.53,1.73,7.26,2.92,6.39,4.25,5.33,2.86,3.12,5.73,5.16,2.91,0.95,,,,,,,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,
