POXWELL-HOUSE-NR-DORCHESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY741840,Long,-2.3671,Lat,50.65516,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1561/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.18,5.43,3.21,5.18,2.86,4.42,4.22,6,2.2,2.11,2.38,3.12,5.5,0.75,0.71,3.24,1.51,0.79,1.53,2.69,,,,,
February,,,,,,4.07,5.96,0.81,1.77,3.57,3.55,0.13,1.02,0.45,1.91,2.46,2.19,1.25,1.09,4.73,5,0.7,1.72,2.76,1.68,,,,,
March,,,,,,3.92,4.02,0.32,1.03,3.44,3.1,2.56,0.86,0.18,0.9,1.05,6.84,0.79,1.27,1.21,3.44,2.72,0.53,3.77,0.9,,,,,
April,,,,,,1.92,2.41,0.08,2.24,1.39,1.54,1.63,0.57,1.93,0.6,2.28,1.89,1.56,1.23,2.2,2.32,1.47,2,0.13,0.58,,,,,
May,,,,,,0.67,2.95,1.23,1.29,2.08,3.31,4.13,1.84,0.42,2.45,3.37,1.83,1.79,2.4,1.19,2.55,2.61,2.63,0.98,4.05,,,,,
June,,,,,,1.27,0.55,0.44,2.32,0.28,2.05,0.29,0.78,2.17,2.87,3.73,2.02,1.88,0.58,1.21,0.39,0.87,1.59,2.53,2.76,,,,,
July,,,,,,3.54,3.33,1.82,3.86,2.69,1.72,1.3,2.01,3.14,1.19,1.04,1.27,1.28,0.89,4.97,1.38,0.78,3.05,4.09,7.19,,,,,
August,,,,,,0.18,1.4,1.96,1.57,0.09,3.71,5.23,1.88,2.2,2.39,4.06,1.18,2.91,1.04,3.75,5.13,1.83,1.73,3.15,0.77,,,,,
September,,,,,,2.32,2.68,1.74,1.14,1.99,1.11,3.08,2.14,1.64,2.28,4.51,1.62,2.36,4.61,3.87,3.39,4.78,2.37,3.07,1.58,,,,,
October,,,,,,1.61,4.06,3.28,6.65,5.79,1.03,3.99,3.78,3.34,3.57,1.95,1.16,2.29,6.16,1.1,1.04,4.33,3.15,2.23,3.31,,,,,
November,,,,,,2.21,2.32,4.25,6.01,7.82,2.12,1.96,2.35,4.89,2.79,4.45,2.41,2.54,3.93,5.43,7.48,3.08,1.42,5.02,2.52,,,,,
December,,,,,,3.29,4.01,3.13,2.2,1.97,2.27,4.11,,1.96,3.7,3.44,4.25,3.96,1.65,2.41,2.09,2.95,0.57,2.66,4.96,,,,,
Total,,,,,,30.18,39.12,22.27,35.26,33.97,29.93,32.63,,24.52,26.76,34.72,29.78,28.11,25.6,32.78,37.45,27.63,21.55,31.92,32.99,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Back records received after investigation of Dorset storm 18 July 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly totals checked against Warmwell (1567/5) Upwey (1566) and Creech Grange (1561) Somewhat low generally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But supported in most years by Chickerell Putton (1558/5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
