BROADSTAIRS-PIERREMONT-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR394677,Long,1.437217,Lat,51.357894,Elevation,127,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.18,0.66,2.68,2.91,0.36,0.45,2.5,2.91,0.81,2.58,0.89,2.07,0.72,2.57,1.52,2.08,2.57,1.24,2.37,1,2.83,2.43,2.33,1.59,1.68,2.97,1.3,1.87,1.08,1.53,1.26,3.09,1.37,2.34,2.26,1.54,2.17,1.95,2.75,3.2,4.14,2.96,4.07,2.1,2.37,2.31,4.02,1.26,2.45,1.01,1.46,2.77,1.19,1.56,2.24,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.86,0.94,1.84,4.16,1.01,1.03,1.47,1.75,0.82,1.71,1.38,1.52,1.45,2.79,1.04,1.28,0.71,1.41,1.76,3.44,0.57,0.66,1.87,0.58,0.9,1.26,2.15,1.1,2.21,2.13,2.65,1.14,0.89,1.71,2.33,0.64,1.35,0.24,2.46,2.16,3.95,0.7,0.94,1.44,1.44,1.73,1.16,1.53,1.25,1.89,1.88,0.98,0.84,2.82,4.4,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.22,1.76,0.92,0.99,1.7,0.99,1.93,1.46,1.95,1.65,0.81,2.14,3.01,1.29,2.12,2.74,2.04,4.51,1.26,2.5,1.85,0.88,3.04,0.63,1.08,1.61,1.15,1.01,1.22,0.32,1.7,2.18,0.32,2.04,0.36,1.41,1.63,2.61,0.13,1.38,3.78,0.54,1.9,2.8,1.65,1.93,0.43,0.25,0.76,2.01,4.34,0.81,0.75,0.48,2.78,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.75,0.85,2.45,0.61,1.11,0.51,2.57,0.91,2.72,0.51,2.48,1.63,1.53,2.42,1.13,0.39,2.14,1.31,1.29,1.57,1.53,1.27,2.65,2.32,1.09,1.73,1.68,2.09,2.03,2.8,1.57,2.44,0.92,1.55,2.57,2.29,1.13,1.65,2.74,1.74,1.93,0.75,2.35,0.87,1.24,0.6,1.38,1.84,1.19,1.31,1.03,1.15,1.54,1.68,1.61,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.61,3.11,2.35,0.78,1.34,1.6,2.25,2.28,1.05,2.63,2.19,1.67,1.05,3.31,1.17,0.95,1.56,1.57,2.88,1.88,0.62,1.73,0.23,1.26,0.94,0.51,2.55,3.1,2.08,1.25,0.55,3.77,1.03,3.11,2.46,2.92,1.48,1.88,2.09,0.27,2.98,2.16,1.95,0.2,1.09,2.59,1.73,0.41,2.01,1.96,1.38,1.72,1.97,1.85,1.71,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.51,2.53,1.55,2.86,0.87,2.16,3.97,0.66,3.97,1.62,1.29,1.4,2.58,2.94,1.7,3.21,0.66,1,0.44,1.62,1.49,1,0.8,1.12,0.22,1.78,0.76,1.58,0.72,3.33,3.39,2.3,1.25,1.32,0.8,0.81,2.39,0.93,2.53,3.89,2.17,1.37,1.5,0.13,0.41,0.31,1.08,1.42,0.61,2.27,2.58,2.89,0.61,1.4,1.79,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.31,1.2,1.58,1.18,1.45,1.07,3.94,1.37,1.01,0.77,1.92,3.51,3.58,2.38,0.38,1.77,1.68,3.34,2.41,1.35,3.84,3.29,3.79,2.4,0.15,1.89,0.53,2.47,2.41,1.81,5.91,0.98,0.73,2.84,4.48,3.67,1.45,2.4,0.22,3.45,1.09,2.63,1.89,2,2.98,3.01,2.1,2.32,1.64,2.33,2.38,1.6,0.88,2.94,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.91,1.39,1.11,1.97,1.49,4.3,3.09,1.52,1.47,0.59,1.53,2.59,2.84,2.78,0.92,5.26,0.62,0.64,1.21,2.09,5.57,1.41,1.95,2.23,1.27,2.27,1.9,1.7,1.34,2.28,3.7,1.22,1.98,2.68,4.35,0.87,0.74,1.88,2.8,1.06,1.07,3.14,2.47,0.36,4.23,1.3,1.61,1.41,2.16,5.37,0.38,3.01,1.04,2.31,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.74,0.43,2.69,0.5,0.91,0.62,1.78,1.52,2.17,2.07,0.69,1.34,2.71,1.14,1.95,2.87,2.5,0.52,3.9,1.29,0.93,4.77,0.87,4.1,0.67,3.54,1.59,2.85,2.9,0.59,2.83,1.5,0.4,4.62,1.29,2.75,5.79,1.09,3.25,3.36,2.71,2.6,2.21,1.96,0.25,2.29,1.19,3.51,0.88,1.95,1.06,2.17,2.51,2.03,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,0.22,1.89,2.17,1.87,1.47,1.69,4.12,2.03,1.83,1.88,5.24,1.32,7.94,1.43,5.61,3.02,3.85,3.27,2.9,4.3,3.4,2.54,1.93,0.9,0.85,2.65,4.42,3.52,2.31,3.72,1.33,4.13,3.7,1.61,0.97,6.47,2.24,2.33,2.37,1.99,2.78,2.92,12.4,,2.04,3.15,1.27,5.24,1.1,1.18,0.4,1.08,6.46,0.71,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
