GARSPHAIRN (THE KNOWE),,,,,,,,,,,,
Grid ref,NX561934,Long,-4.263266,Lat,55.213809,,,,,,,
Station no,5020/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.70,7.72,1.97,6.50,4.44,4.84,7.99,7.63,3.50,5.77,,
February,4.24,1.17,1.74,5.58,2.57,1.09,4.65,5.44,1.67,7.97,,
March,3.36,3.88,0.79,4.53,2.07,3.16,5.73,1.26,5.39,1.40,,
April,3.36,2.99,2.45,1.08,2.44,1.60,2.92,1.66,4.41,6.52,,
May,2.78,3.63,3.49,4.41,4.37,1.97,3.40,3.43,1.72,2.80,,
June,1.82,3.38,1.95,4.04,3.07,3.34,1.79,3.33,3.95,3.73,,
July,1.79,3.40,6.65,5.17,1.88,5.80,5.79,5.56,5.70,4.98,,
August,9.38,5.09,3.45,5.04,2.31,9.76,6.32,5.04,1.11,5.70,,
September,5.51,2.97,7.90,8.83,4.63,5.50,4.84,7.02,2.05,3.38,,
October,0.70,7.45,5.72,10.69,3.96,4.27,5.32,5.44,6.45,5.18,,
November,11.77,3.41,7.58,10.71,4.27,2.48,2.83,2.38,7.48,9.73,,
December,9.85,4.34,5.49,8.73,9.21,6.84,5.71,6.92,10.20,6.00,,
Total,61.26,49.43,49.18,75.31,45.22,50.65,57.29,55.11,53.63,63.16,,
Calc annual,61.26,49.43,49.18,75.31,45.22,50.65,57.29,55.11,53.63,63.16,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
