LEATHLEY LINDLEY WOOD NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE214495,Long,-1.675485,Lat,53.941174,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.88,2.8,1.02,0.96,3.48,1.88,2.13,0.99,3.58,4.57,1.06,2.62,1.81,4.42,4.49,2.54,1.65,2.47,3.4,1.24,4.11,1.42,1.78,1.64,4.47,1.07,5.19,4.18,1.87,4.26,2.07,3.16,2.97,4.09
February,,,,,,,0.69,0.89,1.24,1.67,1.1,0.13,2.98,3.87,5.13,0.48,0.93,3.18,2.81,1.94,5.95,1.62,1.27,2.87,4.34,2.23,2.3,2.13,2.23,0.92,2.96,2.86,2.3,1.3,1.84,4.2,4.9,0.68,3.51,2.16
March,,,,,,,3.32,1.62,3.84,2.44,2.38,1.7,1.56,0.69,2.37,2.41,3.19,3.93,1.37,1.42,0.83,2.37,1.51,4.11,2.11,2.86,2.08,2.4,3.69,4.08,0.56,1.71,3.9,4.26,2.91,1.29,4.5,2.87,1.37,4.81
April,,,,,,,2.32,1.77,3.23,3.09,1.12,1.82,2,0.91,3.71,2.16,1.54,2.05,2.62,2.62,1.54,2.98,1.73,1.42,1.85,2.66,0.59,1.84,2.69,2.7,2.85,1.2,0.59,3.28,0.99,1.29,1.75,2.34,1.15,1.77
May,,,,,,,4.41,2.16,0.86,2.85,2.87,1.62,3.15,1.98,1.88,0.42,0.58,1.25,2.21,3.13,1.46,1.17,2.74,3.91,2.92,0.71,2.44,3.65,2.72,1.59,1.94,1.03,2.8,3.02,0.96,1.71,3.43,2.28,3.09,1.51
June,,,,,,,1.15,0.07,2.92,0.27,2.94,1.24,4.41,1.93,3.24,3.51,5.41,5.32,2.11,1.41,3.94,1.14,2.02,2.06,1.78,1.31,1.22,4.05,1.15,3.1,2.28,2.74,6.26,1.74,2.5,0.44,1.98,2.1,0.73,1.25
July,,,,,,,2.65,1.22,5.27,2.08,1.85,3.3,1.76,3.69,2.74,5.57,2.34,0.73,1.59,2.02,3.04,1.5,2.38,4.33,3.77,1.31,2.15,2.51,3.49,3.44,2.76,0.54,5.61,0.83,4.2,3.95,2.47,1.21,4.93,2.59
August,,,,,,,2.07,2.5,2.56,4.35,5.05,4.41,4.1,2.49,2.55,3.19,1.64,3.76,3.13,1.72,5.27,1.31,2.97,3.69,4.03,4.77,3.25,2.24,2.03,3.65,4.12,2.27,6.86,1.25,1.54,2.59,2.04,5.53,2.5,2.29
September,,,,,,,1.63,2.77,0.54,1.4,2.15,2.27,1.89,1.72,0.91,1.65,4.21,2.9,0.93,4.57,0.84,1.02,1.75,4.44,1.13,1.84,0.76,0.99,3.45,1.92,0.18,2.74,1.58,1.26,1.52,0.62,2.21,1.48,7.25,1.03
October,,,,,,,4.74,2.2,0.58,4.53,1.01,4.13,7.41,2.41,5.27,4.19,3.85,1.78,4.29,3.03,4.29,2.12,3.63,9.09,0.97,2.3,4.69,7.23,1.99,2.65,3.53,2.38,3.26,2.89,2.39,1.51,5.73,4.36,1.94,3.37
November,,,,,,,1.94,2.8,7.21,0.98,3.81,3.2,2.07,2.57,1.56,3.88,1.74,2.32,3.21,1.21,3.72,4.38,2.06,2.23,3.71,4.94,3.71,2.74,1.99,0.76,3.69,3.11,2.47,2.76,5.01,2.57,3.63,2.62,1.46,2.66
December,,,,,,,4.75,1.81,2.16,2.05,1.14,4.94,0.87,3.57,2.75,3.66,4.12,3.5,3.75,3.29,3.62,4.72,2.63,1.8,1.93,0.51,2.49,3.61,2.08,5.5,3.43,5.25,3.43,2.18,6.57,6.99,2.35,2.16,6.26,5.65
Total,,,,,,,34.55,22.61,31.43,26.67,28.9,30.64,34.33,26.82,35.69,35.69,30.61,33.34,29.83,30.78,38.99,26.87,26.34,42.42,31.94,26.68,29.79,34.81,29.29,31.95,32.77,26.9,44.25,28.95,32.3,31.42,37.06,30.79,37.16,33.18
