CRAYKE RECTORY,,,,,,,,,,,,,,,
Grid ref,SE559706,Long,-1.146,Lat,54.128,Elevation,370,ft,,,,,,,
Station no,3451,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935
January,1.74,2.60,1.83,2.33,1.03,2.47,1.62,4.07,1.28,3.22,1.84,1.49,1.53,1.36,2.09
February,0.17,2.27,4.07,1.14,3.26,1.60,1.10,0.99,0.97,0.62,1.59,0.57,3.77,1.41,2.69
March,0.76,1.69,1.64,1.17,0.97,0.29,1.69,2.37,0.30,1.88,0.75,1.87,1.72,2.08,0.82
April,1.28,2.50,1.51,1.95,2.51,0.75,1.52,0.74,0.96,2.93,3.38,1.35,1.21,2.98,2.47
May,1.55,0.83,1.92,3.97,2.36,1.37,1.07,1.73,1.53,1.16,2.32,4.88,2.70,0.86,1.22
June,0.32,1.86,0.60,1.17,0.02,2.19,2.90,3.48,1.58,1.98,3.03,0.62,2.20,1.71,3.57
July,0.99,4.43,2.93,2.78,1.54,2.15,4.03,0.50,1.53,4.45,3.17,4.21,0.94,1.50,0.28
August,3.42,3.36,3.62,2.54,2.52,2.63,5.27,3.40,2.34,2.65,2.08,1.89,0.65,1.75,2.24
September,0.46,1.71,2.33,2.43,2.36,1.43,5.41,0.23,0.41,3.58,4.44,2.20,2.32,1.75,4.48
October,1.77,1.11,2.02,3.43,2.67,2.50,1.93,3.93,2.23,2.24,1.22,3.00,3.33,1.59,4.39
November,1.99,1.19,2.16,2.17,1.84,4.39,2.59,2.34,3.20,3.47,3.65,1.47,2.74,2.06,4.31
December,1.29,2.35,3.00,1.79,2.78,0.65,1.87,1.38,3.75,2.36,1.13,1.16,0.65,4.59,2.63
Total,15.74,25.90,27.63,26.87,23.86,22.42,31.00,25.16,20.08,30.54,28.60,24.71,23.76,23.64,31.19
,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/217,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/004,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The reading for December 1925 has been adjusted for snow and has been retained.,,,,,,,,,,,,,,,
