STANFORD-DINGLEY-BRACKENHURST,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU582704,Long,-1.1642335,Lat,51.429624,Elevation,340,ft.,,,,,,,,,,,,,
Station no,806/2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.37,1.98,3.29,2.33,3.94,0.87,3.28,1.54,2.14,1.97,1.91,,,,,,
February,,,,,0.33,3.88,1.96,3.81,1.82,1.22,0.8,1.85,0.12,4.37,0.12,,,,,,
March,,,,,0.9,0.56,0.6,2.75,2.15,0.12,0.99,0.18,1.52,2.94,2.3,,,,,,
April,,,,,2.51,2.13,2.84,1.91,1.93,1.03,2.25,3.23,2.36,1.32,1.54,,,,,,
May,,,,,3.85,3.69,2.18,1.2,1.64,1.26,1.36,3.02,4.77,1.36,0.66,,,,,,
June,,,,,3.21,0.09,2.49,2.59,1.86,1.05,0.92,1.45,0.48,1.3,1.5,,,,,,
July,,,,,3.87,3.48,2.17,4.3,1.54,1.02,2.24,3.46,2.74,1.19,1.16,,,,,,
August,,,,,2.08,3.08,1.12,3.38,2.32,1.14,2.25,3.73,2.6,0.36,2.38,,,,,,
September,,,,,2.99,2.58,0.85,5.74,1.47,0.42,3.33,1.51,3.12,2.95,1.62,,,,,,
October,,,,,3.63,3.04,2.28,2.19,6.08,2.83,1.23,0.47,4.24,1.84,,,,,,,
November,,,,,2.62,1.85,5.66,3.45,2.67,6.27,4.28,2.81,1.21,0.68,,,,,,,
December,,,,,4.43,2.75,0.66,3.07,2.33,6.69,3,0.82,1.13,0.47,,,,,,,
Total,,,,,33.79,29.11,26.1,36.72,29.75,23.92,25.93,24.07,26.43,20.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is Brackenhurst. Long/Lat on 1930s record does not match and stated altitude of 400 ft. is 30 ft. too high, OS figure used.",,,,,,,,,,,,,,,,,,,,,
Gauge moved 200 yards NW in 1934. Station Number kept.,,,,,,,,,,,,,,,,,,,,,
