STANFORD-DINGLEY-COTTAGE,,,,,,,,,,
Grid ref,SU581710,Long,-1.1655735,Lat,51.435029,Elevation,250,ft.,,
Station no,806/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.56,2.71,3.32,1.75,3.18,3.77,3.59
February,,,,2.14,1.63,0.36,3.24,3.02,0.35,2.59
March,,,,2.74,1.08,0.72,1.6,1.15,2.99,1.23
April,,,,0.24,0.37,1.67,0.2,0.32,2.19,0.75
May,,,,2.75,3.88,0.26,1.42,1.98,0.42,1.69
June,,,,4.13,2.44,1.49,1.48,3.58,1.22,1.59
July,,,,2.45,0.19,2.33,3.41,2.25,2,3.23
August,,,,2.95,0.37,3.07,2.56,3.76,1.84,2.61
September,,,,1.55,0.88,2.79,2.93,2.59,0.04,3.98
October,,,,2.16,2.69,1.53,2.21,3.36,2.93,7.98
November,,,,4.73,1.9,0.82,2.09,2.3,2.33,3.74
December,,,0.69,2.89,2.54,3.38,2.69,2.79,4.56,3.69
Total,,,,30.29,20.68,21.74,25.58,30.28,24.64,36.67
,,,,,,,,,,
NGR is 200 yards NE of Dingley Hill as stated on the record.,,,,,,,,,,
Altitude is from OS map. NGR could be +/- 200m,,,,,,,,,,
