"CONISTON WATER, WATER PARK",,,,,,,,,,,,
Grid ref,SD292902,Long,-3.089493,Lat,54.302479,,,,,,,
Station no,RR2029,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.61,4.32,4.86,5.80,6.87,3.29,9.21,3.43,7.54,3.59,,
February,7.97,2.33,3.68,6.02,5.23,4.72,5.16,3.85,3.61,4.80,,
March,0.77,4.91,4.60,6.40,5.60,4.90,3.90,6.30,4.94,5.70,,
April,4.64,4.15,3.21,2.55,5.11,6.34,2.61,3.97,3.13,4.64,,
May,3.49,1.79,3.63,4.54,3.03,2.63,7.88,7.08,5.08,3.22,,
June,4.89,3.40,1.19,2.95,2.31,3.81,3.00,9.88,3.21,2.55,,
July,2.47,1.39,4.63,5.83,3.76,2.56,3.96,4.20,6.15,8.79,,
August,8.74,7.15,4.87,10.64,4.93,6.52,5.99,7.49,5.99,4.05,,
September,4.28,2.66,2.15,7.15,3.92,4.23,2.25,1.18,7.23,4.49,,
October,10.37,6.68,4.95,11.80,3.14,5.22,8.66,8.50,4.12,9.26,,
November,7.33,7.74,6.42,5.18,6.38,7.38,6.06,7.10,4.96,2.79,,
December,10.46,8.04,7.35,5.72,6.13,3.36,6.10,9.38,5.70,12.08,,
Total,74.02,54.56,51.54,74.58,56.41,54.96,64.78,72.36,61.66,65.96,,
Calc annual,74.02,54.56,51.54,74.58,56.41,54.96,64.78,72.36,61.66,65.96,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
