"MORETONHAMPSTEAD RECTORY",,,,,,,,,,,,
Grid ref,SX757862,Long,-3.760047,Lat,50.662167,,,,,,,
Station no,RR2767,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.76,2.39,8.64,2.21,1.97,2.44,,
February,,,,,8.26,1.94,4.56,1.94,2.41,0.74,,
March,,,,,3.31,6.73,2.01,1.21,4.78,8.17,,
April,,,,,1.58,4.18,1.38,7.53,2.83,2.55,,
May,,,,,2.53,0.58,2.37,3.53,1.92,1.30,,
June,,,,,1.12,3.45,1.70,2.54,0.81,3.86,,
July,,,,,4.56,0.24,0.71,0.98,1.76,1.66,,
August,,,,,2.65,4.34,1.93,1.03,4.72,1.68,,
September,,,,,2.23,1.60,0.53,0.77,2.16,1.58,,
October,,,,,2.35,2.53,4.88,9.33,2.29,7.09,,
November,,,,,2.65,5.36,3.88,4.14,1.72,1.51,,
December,,,,,4.44,1.44,3.24,7.26,3.78,7.01,,
Total,,,39.82,57.37,42.44,34.78,35.83,42.47,31.15,39.59,,
Calc annual,0.00,0.00,0.00,0.00,42.44,34.78,35.83,42.47,31.15,39.59,,
Difference,NaN,NaN,39.82,57.37,0.00,0.00,-0.00,0.00,0.00,0.00,,
