MORETONHAMPSTEAD-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX757862,Long,-3.7589,Lat,50.6622,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,6.76,2.39,8.64,2.21,1.97,2.44,5.98,1.12,5.83,7.88,1.11,4.2,1.74,1.51,5.2,7.32,8.48,4.12,5.83,2.49,5.85,8.36,7.39,,,,
February,,,,,8.26,1.94,4.56,1.94,2.41,0.74,6.29,2.16,4.29,1.93,6,8.1,8.53,0.75,2.18,6.13,0.94,0.38,4.44,10.73,2.89,6.27,3.39,,,,
March,,,,,3.31,6.73,2.01,1.21,4.78,8.17,1.24,3.47,6.99,5.91,7.63,0.44,5.25,4.69,1.93,5.38,4.67,2.77,4.52,1.82,2.23,0.65,0.9,,,,
April,,,,,1.58,4.18,1.38,7.53,2.83,2.55,3.11,2.15,0.17,5.74,1.69,1.05,1.07,2.25,3,2.55,5.24,0.76,4.5,4.51,4.37,3.6,2.11,,,,
May,,,,,2.53,0.58,2.37,3.53,1.92,1.3,2.79,1.92,1.35,4.35,1.77,2.38,1.79,2.59,1.07,1.32,2.01,2.02,0.57,2.42,4.77,5,1.27,,,,
June,,,,,1.12,3.45,1.7,2.54,0.81,3.86,2.43,3.51,4.7,0.98,2.02,1.22,1.58,4.4,1.24,0.73,2.34,0.12,0.59,0.36,2.26,0,3.74,,,,
July,,,,,4.56,0.24,0.71,0.98,1.76,1.66,2.74,0.87,2.73,0.36,5.04,3.08,0.93,2.13,3.18,1.72,4.47,1.03,3.37,3.39,3.22,4.07,1.18,,,,
August,,,,,2.65,4.34,1.93,1.03,4.72,1.68,4.31,2.11,10.36,1.16,1.92,2.21,5.65,5.87,2.55,3.27,0.98,1.47,3.58,2.6,2.79,1.18,1.6,,,,
September,,,,,2.23,1.6,0.53,0.77,2.16,1.58,0.54,2.01,1.32,2.69,2.06,1.06,2.67,1.68,7.14,1.92,1.89,0.57,3.74,3.35,5.05,3.29,1.25,,,,
October,,,,,2.35,2.53,4.88,9.33,2.29,7.09,7.85,5,5.22,5.51,4.22,5.99,7.1,5.92,1.98,1.94,4.95,1.68,1.5,6.55,6.37,4.2,3.63,,,,
November,,,,,2.65,5.36,3.88,4.14,1.72,1.51,7.38,6.36,2.97,5.11,5.17,3.17,7.81,2.29,4.3,4,2.65,4.59,2.61,3.66,5.9,4.48,11.52,,,,
December,,,,,4.44,1.44,3.24,7.26,3.78,7.01,10.46,12.79,5.59,3.84,12.05,10.48,4.59,1.52,5.29,7.13,5.33,2.61,7.44,3.63,6.35,6.86,0.8,,,,
Total,,,39.82,57.37,42.44,34.78,35.83,42.47,31.15,39.59,55.12,43.47,51.52,45.46,50.68,43.38,48.71,35.6,39.06,43.41,43.95,22.12,42.69,45.51,52.05,47.96,38.78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906 Gauge moved from one side of path to other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Plantation 40ft high 30ft W grown since gauge was fixed over 20 yrs ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927 To Sidmouth, S Devon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
