KENDAL UNDERFELL - Gauge No 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD 510928,Long,-2.7537,Lat,54.3293,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,7.99,3.77,10.02,6.16,2.13,0.92,0.72,,,,3.58,5.34,4.36,3.13,,,,7.11,2.21,,,,,,
February,,,,,,1.52,6.73,4.45,3.03,3.88,4.19,6.32,,,,6.07,1.69,2.64,1.88,,,,1.81,6.46,,,,,,
March,,,,,,1.62,4.86,3.22,2.66,3.63,3.15,6.1,,,,4.92,7.18,1.94,3.25,,,,1.2,1.68,,,,,,
April,,,,,,1.82,2.95,2.52,2.98,1.89,2,2.42,,,,2.84,4,3.02,2.66,,,,1.4,0.59,,,,,,
May,,,,,,2.67,1.01,3.33,5.66,2.09,2.03,4.78,,,,2.29,5.28,1.53,2.03,,,,4.01,2.69,,,,,,
June,,,,,1.19,5.82,4.91,3.19,3.73,6.4,5.12,5.15,,,,2.41,2.1,0,1.83,,,,2.81,0.6,,,,,,
July,,,,,2.84,2.94,3.49,6.76,0.65,6.73,6.8,6.95,,,,4,6.8,2.5,6.5,,,,2,4.11,,,,,,
August,,,,,7.73,3.08,4.27,5.8,5.09,5.63,1.35,7.55,,,,3.4,4.95,2.15,3.92,,,,9.7,4.93,,,,,,
September,,,,,6.06,6.48,5.28,4.5,5.94,4.19,4.74,3.05,,,,7,7.18,4.16,1.54,,,,9.57,6.6,,,,,,
October,,,,,13.22,4.12,4.51,8.75,5.41,2.84,1.1,3,,,,4.1,7.53,2.31,5.9,,,,5.87,6.21,,,,,,
November,,,,,4.52,6.9,3.57,10.86,2.66,1.68,7.32,7.95,,,,3.85,5.75,3.3,5.68,,,,4.94,2.01,,,,,,
December,,,,,3.79,4.02,9.65,5.99,3,4.58,6.94,7,,,,2.8,6.17,4.24,5.65,,,,3.12,5.3,,,,,,
Total,,,,,,48.98,55,69.39,46.97,45.67,45.66,60.99,,,,47.26,63.97,32.15,43.97,,,,53.54,43.39,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt4-page-011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1880-1889_11_pt5-page-010.csv CORRECTION  1887 Sept 4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_21_pt1-page-054.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
