KENDAL UNDERFELL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD 510928,Long,-2.7537,Lat,54.3293,Elevation,300,ft,,,,,,,,,,,,
Station no,RR2373,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,5.2,2.52,9.94,9.68,7.9,7.45,3.54,9.09,5.76,2.03,0.75,0.54,4.23,8.2,7.58,3.12,5.16,4.01,,
February,2.75,4.84,5.16,1.01,3.21,1.41,6.33,3.79,2.82,3.68,3.9,5.28,5.87,2.74,3.59,5.54,1.87,2.55,,
March,2.33,2.06,5.53,3.57,4.14,1.58,4.67,3.09,2.51,3.42,3.06,6.02,5.22,1.03,3.33,4.57,6.73,1.74,,
April,1.86,3.09,2.18,0.54,1.82,1.78,2.86,2.45,2.87,1.8,1.87,2.25,4.77,2.28,1.11,2.7,3.64,2.82,,
May,4.19,1.94,2.71,2.52,1.19,2.61,0.95,3.22,5.46,1.98,2.03,4.66,3,2.42,3.58,2.23,5.11,1.64,,
June,1.55,2.09,4.44,2.98,1.14,5.73,4.91,3.17,3.68,6.3,4.96,4.72,5.25,4.48,1.26,2.43,1.93,0.29,,
July,1.17,7.26,4.47,7.01,2.74,2.84,3.35,6.64,0.59,6.54,6.84,7.1,8.1,1.92,4.76,3.96,6.69,2.64,,
August,1.61,7.24,5.22,6.34,7.52,2.99,4.31,5.61,4.94,5.36,1.42,7.78,4.9,4.51,1.04,3.37,4.34,2.23,,
September,2.8,3.89,8.49,3.09,5.76,6.32,5.15,4.39,5.65,3.76,4.65,3.07,4.11,4.14,4.33,6,7.54,3.95,,
October,10.59,6.59,7.95,8.81,13.25,3.99,4.36,8.26,5.28,2.34,1.08,2.92,3.45,5.82,3.47,4.02,7.35,2.06,,
November,3.47,1.67,6.65,3,4.28,7.24,3.33,10.35,2.55,1.59,6.27,7.38,8.52,6.39,2.11,3.61,5.33,2.85,,
December,2.15,6.09,6.07,2.49,3.65,3.88,8.59,5.65,2.83,4.16,5.55,6.19,4.89,4.33,6.92,2.51,5.86,3.94,,
Total,39.67,49.28,68.81,51.04,56.6,47.82,52.35,65.71,44.94,42.96,42.38,57.91,62.31,48.26,43.08,44.06,61.55,30.72,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt4-page-010.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1880-1889_11_pt5-page-008.csv total 1880 = 42.38,,,,,,,,,,,,,,,,,,,,
