KENDAL UNDERFELL No 2 monthly gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD 510928,Long,-2.7537,Lat,54.3293,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,9.05,7.19,7.5,3.68,8.93,6,2.22,0.85,0.61,,9.08,7.54,3.6,5.43,4.22,3.27,,,,6.89,2.35,5.98,2.63,,,,
February,,,,1.04,3.06,1.42,,4.01,3.07,3.89,4.34,5.8,,3.11,3.91,6.3,1.84,2.83,1.1,,,,2.04,7.24,9.36,0.96,,,,
March,,,,3.41,3.61,1.65,4.86,3.14,2.51,3.55,3.29,6.49,,1.06,3.55,5.06,5.63,2.01,3.23,,,,1.43,2.02,3.9,5.94,,,,
April,,,,0.61,1.66,1.7,2.92,2.57,2.87,1.77,2.1,2.42,,2.31,1.25,3,3.55,3.11,2.71,,,,1.49,0.92,1.61,2.96,,,,
May,,,,2.56,1.25,2.49,0.86,3.12,5.58,2,2.16,5.1,,2.65,3.97,2.52,5.19,1.78,2.41,,,,4.57,2.86,3.84,0.83,,,,
June,,,,2.73,1.14,5.58,4.53,2.95,3.59,6.26,5.11,5.24,,4.6,1.39,2.67,1.84,0.32,2.25,,,,3.72,0.94,3.99,2.74,,,,
July,,,,6.95,2.82,2.92,3.74,8.51,0.58,6.34,7.06,7.35,,2.1,5.32,4.26,6.83,2.83,6.72,,,,2.28,4.54,4.13,7.5,,,,
August,,,,6.3,7.59,2.99,3.97,5.22,5.04,5.35,1.47,7.91,,4.74,1.17,3.54,4.73,2.36,3.7,,,,9.51,5.37,3.97,7.3,,,,
September,,,,3.04,5.86,6.34,5.23,4.24,5.67,4.33,4.85,3.18,,4.37,4.82,6.61,7,4.25,1.67,,,,9.78,6.74,0.38,1.45,,,,
October,,,,7.94,12.82,4.07,4.33,8.43,5.3,3,1.14,2.99,,6.13,3.83,4.61,6.47,2.26,4.97,,,,5.59,6.41,4.59,6.08,,,,
November,,,,2.87,4.32,6.89,3.38,10.4,2.56,1.72,7.19,8.34,,7.18,2.44,3.97,5.61,3.22,5.91,,,,5.09,2.69,7.12,5.51,,,,
December,,,,2.31,3.69,3.75,9.58,5.73,2.43,4.89,6.11,6.72,,4.74,7.66,2.72,6.13,4.34,5.46,,,,3.27,4.08,7.52,5.54,,,,
Total,,,,48.81,55.01,47.3,,67.25,45.2,45.32,45.67,62.15,,52.07,46.85,48.86,60.25,33.53,43.4,,,,55.66,46.16,56.39,49.44,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_09_pt4-page-012.csv Dec 1876 - 2 numbers bracketed for the month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt5-page-009.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_21_pt1-page-053.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
