ROOS - NORTHEND,,,,,,,,
Grid ref,TA288311,Long,-0.048,Lat,53.760,Elevation,56,ft
Station no,RR6528,,,,,,,
,,,,,,,,
,1919,1920,1921,1922,1923,1924,1925,1926
January,,,2.55,4.42,1.58,2.16,,3.56
February,,,0.25,2.75,3.70,1.10,,1.44
March,,,1.04,2.20,1.94,0.75,,0.40
April,,,1.16,1.03,1.30,1.37,,1.25
May,,,1.80,1.10,3.29,3.53,,1.22
June,,,0.20,0.80,0.85,1.55,,4.05
July,1.97,,0.70,3.51,2.69,2.93,,2.07
August,2.83,,2.01,2.79,2.56,2.74,,2.57
September,1.53,,0.49,2.18,2.45,2.44,,0.48
October,3.16,,1.15,1.61,1.40,3.76,,3.06
November,3.17,,2.97,1.33,2.52,1.53,,2.42
December,2.99,,2.31,2.38,3.43,1.89,,0.60
Total,,,16.63,26.10,27.71,25.75,,23.12
,,,,,,,,
TYRain_1910-1919_20_pt1/208,,,,,,,,
TYRain_1920-1930_21_pt1/059,,,,,,,,
