"MONTROSE KINNABER W. W.",,,,,,,,,,,,
Grid ref,NO713621,Long,-2.470901,Lat,56.749635,,,,,,,
Station no,5610,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.40,1.95,1.01,4.40,1.86,0.52,1.88,0.88,1.82,1.14,,
February,4.10,1.95,1.43,2.48,2.91,0.99,1.13,1.21,0.79,0.62,,
March,1.89,1.45,0.87,3.33,1.96,3.44,1.08,1.12,3.50,4.31,,
April,1.43,3.04,2.39,1.32,1.28,2.69,1.13,2.19,1.08,3.40,,
May,1.42,1.81,2.38,1.57,2.57,1.25,5.09,6.67,1.46,2.57,,
June,1.78,1.92,2.37,2.19,0.86,0.37,0.53,4.70,1.19,0.88,,
July,4.42,0.98,2.92,5.29,1.06,1.32,1.67,2.06,1.64,4.03,,
August,3.25,2.77,1.77,4.18,3.92,2.52,3.85,3.38,2.35,2.14,,
September,1.74,1.10,1.71,2.88,1.72,1.46,1.01,1.22,3.81,0.91,,
October,3.23,2.23,1.05,5.36,0.66,2.56,5.27,5.23,3.38,2.80,,
November,4.14,1.72,3.06,1.42,1.15,5.00,4.23,2.14,1.58,1.02,,
December,3.70,3.24,2.71,2.64,1.79,1.12,4.19,3.37,2.45,3.62,,
Total,35.50,24.16,23.67,37.06,21.74,23.24,31.06,34.17,25.05,27.44,,
Calc annual,35.50,24.16,23.67,37.06,21.74,23.24,31.06,34.17,25.05,27.44,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
