MONTROSE WATER WORKS KINNABER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO713620,Long,-2.470078,Lat,56.749189,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.5,3.2,0.75,1.9,,,2.96,0.49,1.29,0.78,3.63,4.4,1.95,1.01,4.4,1.86,0.52,1.88,0.88,1.82,1.14,1.62,1.63,3.5,4.09,1.32,2.58,1.08,1.89,2.2,2.96,1.66,1.6,3.5,1.72,2.45,1.49,3.85,1.61,3.93,1.05,1.42,3.37,1.6,1.92,1.52,,,,,,,,,,,,,,,,,,,0.85,1.49,1.56,2.82,2.27,3.33,1.25,3.77
February,,,,,,,,,,1,1,0,1.26,,,0.82,0.73,0.53,0.9,2.65,4.1,1.95,1.43,2.48,2.91,0.99,1.13,1.21,0.79,0.62,2.07,0.69,3.24,0.81,2.51,3.66,2.19,0.9,2.1,2.31,1.3,0.43,1.74,3.88,1.01,2.93,4.06,1.56,1.05,1.97,1.66,2.45,0.18,1.9,0.18,,,,,,,,,,,,,,,,,,,0.86,2.16,2.81,1.56,2.51,2.36,0.16,2.3
March,,,,,,,,,,1.9,2.3,1.43,0.25,,,3.93,1.29,2.89,1.34,2.27,1.89,1.45,0.87,3.33,1.96,3.44,1.08,1.12,3.5,4.31,1.22,1.56,1.49,2.29,3.41,1.3,2.71,1.79,1.27,1.27,1.79,2.17,1.93,1.17,0.62,1.26,0.64,1.95,3.8,0.06,1.03,1.09,2.97,1.51,2.46,,,,,,,,,,,,,,,,,,,0.39,2.04,1.42,1.08,2.35,5.07,0.9,1.61
April,,,,,,,,,,3.75,0.42,0.62,1.73,,,0.95,0.85,1.29,6.39,2.71,1.43,3.04,2.39,1.32,1.28,2.69,1.13,2.19,1.08,3.4,2.32,1.46,0.2,2.73,0.77,0.54,1.83,1.1,0.37,3.65,2.05,1.27,2.43,2.22,1.55,2.53,1.73,1.35,1.28,1.35,2.45,1.62,2.6,1.84,6.45,,,,,,,,,,,,,,,,,,,3.4,1,0.7,1.21,0.77,1.76,1.77,1.93
May,,,,,,,,,,1.9,3,0.78,3.82,,,0.3,0.92,1.67,2.03,3.46,1.42,1.81,2.38,1.57,2.57,1.25,5.09,6.67,1.46,2.57,2.28,1.36,1.35,2.98,1.99,0.89,2.95,1.62,3.54,0.66,3.23,1.87,0.53,2.2,3.77,2.94,1.97,2.34,1.22,2.09,1.37,3.02,3.22,1.14,2.53,,,,,,,,,,,,,,,,,,,1.73,3.2,1.67,0.39,1.44,2.59,1.61,0.72
June,,,,,,,,,,1.46,2.62,0.35,2.74,,,2.33,2.72,3.44,1.07,1.43,1.78,1.92,2.37,2.19,0.86,0.37,0.53,4.7,1.19,0.88,0.89,1.32,1.47,2.08,0.87,0.63,3.41,0.9,1.59,1.04,0.69,1.01,1.23,0.57,1.34,0.7,2.26,2.79,2.94,1.58,1.86,4.28,1.07,1.09,0.79,,,,,,,,,,,,,,,,,,,1.38,1.83,0.69,2.3,1.03,1.53,3.32,1.58
July,,,,,,,,,,2.34,3.45,2.17,,,,4.02,4.15,1.28,0.74,2.88,4.42,0.98,2.92,5.29,1.06,1.32,1.67,2.06,1.64,4.03,2.24,1.78,2.2,1.01,2.37,4.52,6.57,1.3,4.55,0.56,3.52,1.81,2.67,2.14,4.42,2.08,2.25,1.66,2.06,2.92,1.6,3.92,3.39,2.89,2.78,,,,,,,,,,,,,,,,,,2.14,3.38,2.07,0.63,3.44,4.26,5.64,2.54,2.79
August,,,,,,,,,,6.6,3.25,,,,,3.5,2.26,3.01,2.01,1.26,3.25,2.77,1.77,4.18,3.92,2.52,3.85,3.38,2.35,2.14,5.21,1.04,4.27,1.24,1.39,2.13,3.5,3.8,1.74,2.57,2.75,1.69,1.88,5.03,3.7,2.27,2.29,3.18,3.63,5.72,6,1.9,0.56,1,3.18,,,,,,,,,,,,,,,,,,1.94,2.14,2.87,0.45,4.41,4.3,4.54,0.42,4.93
September,,,,,,,,,,0.5,1.75,,,,,1.04,3.41,1.52,1.3,2.93,1.74,1.1,1.71,2.88,1.72,1.46,1.01,1.22,3.81,0.91,1.02,0.68,2.36,3.02,0.77,1.19,0.87,1.39,3.25,1.26,1.59,1.11,2.55,2.64,4.67,3.07,4.18,4.3,2.67,0.65,3.94,1.3,1.94,0.75,3.42,,,,,,,,,,,,,,,,,,0.88,2.44,2.31,2.06,3.9,2.28,2.03,0.68,3.25
October,,,,,,,,,,3.6,2.65,4.38,5.32,,,2.42,3.72,2.83,3.42,0.58,3.23,2.23,1.05,5.36,0.66,2.56,5.27,5.23,3.38,2.8,2.02,2.29,4.38,1.55,2.55,2.31,4.1,2.86,1.98,2.22,1.95,1.34,1.1,2.43,4.41,2.18,5.33,4.64,3.1,3.56,2.75,0.72,6.35,4.04,3.14,,,,,,,,,,,,,,,,,,2.06,1.26,4.57,1.85,1.77,1.3,1.44,2.98,7.99
November,,,,,,,,,,0.6,3.75,4.37,2.62,,,4.76,1.1,1.7,3.96,2.06,4.14,1.72,3.06,1.42,1.15,5,4.23,2.14,1.58,1.02,2.98,3.4,2.21,1.29,3.32,1.67,3.19,2.59,1.32,4.03,2.29,2.29,1.65,2.94,1.83,1.15,4.64,2.14,2.4,3.8,4.36,5.97,1.24,2.58,1.26,,,,,,,,,,,,,,,,,,2.01,2.51,4.03,1.54,0.98,1.25,0.72,4.67,4.42
December,,,,,,,,,,1.4,1.97,2.3,0.71,,,2.99,6.5,3.43,1.89,4.59,3.7,3.24,2.71,2.64,1.79,1.12,4.19,3.37,2.45,3.62,3,5.46,1.65,1.2,4.96,6.2,3.57,1.19,1.56,4.9,3.09,1.21,1.45,3.35,3.14,1.94,0.29,2.61,2.41,3.98,2.89,1.42,2.4,1.65,4.77,,,,,,,,,,,,,,,,,,1.75,3.33,2.54,4.49,3,2.27,3.78,4.48,2.37
Total,,,,,,,,,,25.55,29.36,,,,,30.02,28.14,24.88,25.83,30.45,35.5,24.16,23.67,37.06,21.74,23.24,31.06,34.17,25.05,27.44,26.87,22.67,28.32,24.29,26.23,27.62,35.97,21.33,25.47,27.43,25.91,17.8,22.66,30.29,32.91,24.54,33.49,30.13,30.49,28.73,31.33,31.06,27.52,22.31,32.48,,,,,,,,,,,,,,,,,,,23.67,30.11,19.87,26.86,26.03,34.79,24.78,37.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The record sheets have a variety of NGRs on them but the description of the relationship to buildings as well as the altitude puts the gauge clsoe to the Water Works, which is the NGR used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is another record for 1889 only, which has similar total 25.35 vs 25.55, but monthly readings vary significantly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
