"EASINGTON (MILL HILL RES.)",,,,,,,,,,,,
Grid ref,NZ413427,Long,-1.359456,Lat,54.777521,,,,,,,
Station no,3531,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.29,2.02,0.78,2.55,1.62,3.18,1.58,1.45,3.23,4.66,,
February,2.78,0.48,1.34,2.01,2.36,1.63,2.04,3.95,0.56,2.56,,
March,4.28,1.73,0.06,1.40,1.33,0.74,1.15,3.71,0.81,2.02,,
April,1.22,1.50,2.56,0.32,0.74,0.84,0.40,1.33,1.63,0.76,,
May,5.31,1.69,2.33,2.50,1.38,0.49,1.30,3.29,0.55,1.80,,
June,1.43,0.70,2.70,2.26,3.23,3.86,2.15,2.97,2.38,0.41,,
July,1.71,1.06,3.43,2.52,1.26,2.45,3.70,2.85,1.68,4.07,,
August,5.16,2.85,4.40,6.20,0.74,6.74,3.78,2.81,0.32,2.23,,
September,0.99,5.17,1.34,2.03,1.13,2.14,3.68,1.38,0.77,1.82,,
October,1.48,2.92,1.36,4.72,1.28,1.48,1.76,1.46,1.06,7.73,,
November,5.77,4.28,1.44,4.15,2.05,0.89,1.48,0.68,3.57,2.99,,
December,3.14,2.31,1.07,1.97,2.82,1.97,1.13,3.80,3.33,2.16,,
Total,34.56,26.71,22.81,32.63,19.94,26.41,24.15,29.68,19.89,33.21,,
Calc annual,34.56,26.71,22.81,32.63,19.94,26.41,24.15,29.68,19.89,33.21,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
