"PETERSFIELD, BROADHANGER",,,,,,,,,,,,
Grid ref,SU712258,Long,-0.986116,Lat,51.027168,,,,,,,
Station no,718,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.48,,
February,,,,,,,,,,0.41,,
March,,,,,,,,,,6.16,,
April,,,,,,,,,,2.34,,
May,,,,,,,,,,3.08,,
June,,,,,,,,,,4.18,,
July,,,,,,,,,,3.94,,
August,,,,,,,,,,3.53,,
September,,,,,,,,,,2.84,,
October,,,,,,,,,,9.70,,
November,,,,,,,,,,0.54,,
December,,,,,,,,,,6.59,,
Total,,,,,,,,,,44.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
