"WESTFIELD, INVERURIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 77027 21521,Long,-2.382699,Lat,57.283732,Elevation,207,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.43,3.44,0.63,2.75,2.69,3.46,1.9,1.08,4.4,2.16,1.6,0.99,3.49,1.53,2.61,1.95,1.54,2.49,1.8,1.47,1.24,,,,,,
February,,,,,1.95,4.79,2.01,0.75,1.01,1.27,0.92,0.56,2.33,8.17,1.8,4.54,2.79,1.58,0.58,2.36,1.8,2.82,0.34,4.35,0.43,,,,,,
March,,,,,2.94,1.97,2.54,2.3,1.44,2.37,1.9,1.73,1.7,0.78,1.22,2.14,1,2.39,2.93,0.39,1.5,1.39,3.04,2.13,2.48,,,,,,
April,,,,,0.57,0.71,3.29,1.76,0.53,3,2.53,1.05,3.01,1.64,1.2,2.1,2.8,2.41,2.06,1.55,2.96,1.57,3.41,1.75,7.34,,,,,,
May,,,,,2.1,1.07,3.52,1.34,2.41,0.78,3.14,1.05,1.33,5.07,5.45,2.85,2.66,2.67,1.34,1.9,1.48,3.57,2.77,1.28,2.94,,,,,,
June,,,,,0.91,1.11,4.03,1.09,1.3,1.43,0.25,1.17,2.06,0.62,1.18,0.89,2.41,2.52,2.67,1.75,1.27,3.53,0.39,1.4,,,,,,,
July,,,,,3.62,4.62,3.04,2.33,5.38,0.55,2.95,1.56,3.23,2.31,3.86,3.94,3.24,1.46,1.56,3.72,3.41,2.98,3.27,3.11,,,,,,,
August,,,,,1.5,1.28,2.58,4.92,2.87,1.67,2.73,1.65,2.44,3.43,5.64,0.95,1.51,2.47,4.04,3.56,6.9,2.68,1.63,1.53,,,,,,,
September,,,,,1.71,2.74,1.29,1.81,3.12,2.55,2.03,1.04,2.41,1.91,3.82,2.29,4.46,5.83,2.88,1.56,4.86,1.43,2.49,1.02,,,,,,,
October,,,,,2.7,4.37,4.96,2.97,1.64,2.62,3.57,1.32,1.69,2.91,2.35,2.31,4.3,3.95,2.04,2.93,2.91,1.79,7.77,4.64,,,,,,,
November,,,,,3.82,2.9,3.39,3.39,2.12,3.66,1.16,1.83,1.73,3.03,2.41,2.09,4.08,4.38,3.13,2.45,2.93,3.08,1.31,4.81,,,,,,,
December,,,,,5.67,6.93,3.97,1.04,1.95,3.11,2.61,1.27,1.93,3.58,1.82,2.66,1.17,3.23,2.9,6.18,3.25,1.56,1.13,2.31,,,,,,,
Total,,,,,28.92,35.93,35.25,26.45,26.46,26.47,25.69,15.31,28.26,35.61,32.35,27.75,33.91,34.42,28.74,30.3,34.81,28.89,29.35,29.8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
