CNOC AN LAOIGH,,,,,,,,,,
Grid ref,NC487199,Long,-4.571847,Lat,58.14204,Elevation,450,ft,,
Station no,5799/22,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,10.6,3.32
February,,,,,,,,,1.6,5.25
March,,,,,,,,,1.6,1.15
April,,,,,,,,,2.9,3
May,,,,,,,,,1.35,0.92
June,,,,,,,,,3.65,2.58
July,,,,,,,,,3.75,2.05
August,,,,,,,,3.24,1.85,3.35
September,,,,,,,,2.17,1.75,1.52
October,,,,,,,,5.27,6.34,2.42
November,,,,,,,,1.6,5.11,3.46
December,,,,,,,,3.7,3.63,8.5
Total,,,,,,,,,44.13,37.52
,,,,,,,,,,
1959 NP Jan High,,,,,,,,,,
,,,,,,,,,,
Station no,5799/22,,,,,,,,,
Midas,14479,,,,,,,,,
Hyd Stn,781779,,,,,,,,,
