"MARYTAVY RECTORY",,,,,,,,,,,,
Grid ref,SX507788,Long,-4.110549,Lat,50.589789,,,,,,,
Station no,1659,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.75,9.65,2.71,2.93,3.33,,
February,,,,,,2.37,6.33,2.85,3.91,0.83,,
March,,,,,,8.56,2.11,2.13,6.12,7.64,,
April,,,,,,4.15,1.56,6.84,3.62,4.22,,
May,,,,,,0.91,5.63,4.81,2.83,2.17,,
June,,,,,,,1.71,4.69,0.96,2.37,,
July,,,,,,9.34,2.03,2.52,3.83,4.29,,
August,,,,,,,4.83,3.08,5.19,2.54,,
September,,,,,,2.04,1.45,1.45,2.72,1.72,,
October,,,,,,3.40,8.67,9.17,2.30,10.01,,
November,,,,,,7.62,5.15,4.95,2.70,2.72,,
December,,,,,,2.24,5.01,7.58,5.89,8.04,,
Total,,,,,,43.38,54.13,52.78,43.00,49.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,43.38,54.13,52.78,43.00,49.88,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
