MARY-TAVY-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SX506788,Long,-4.1118,Lat,50.5906,Elevation,560,ft,,,,,,,,,,,,
Station no,1659,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.75,9.65,2.71,2.93,3.33,7.11,2.35,5.51,9.14,2.12,,3.09,,,
February,,,,,,2.37,6.33,2.85,3.91,0.83,8.87,3.58,5.9,2.42,7.01,,7.89,,,
March,,,,,,8.56,2.11,2.13,6.12,7.64,1.41,4.07,9,5.78,8.7,0.37,2.68,,,
April,,,,,,4.15,1.56,6.84,3.62,4.22,3.63,3.78,0.31,6.82,2.51,1.38,1.74,,,
May,,,,,,0.91,5.63,4.81,2.83,2.17,3.27,2.65,2,4.17,2.84,4.15,2.06,,,
June,,,,,,-999,1.71,4.69,0.96,2.37,2.26,3.69,7.02,1.89,2.03,2.66,,,,
July,,,,,,-999,2.03,2.52,3.83,4.29,4.35,0.88,3.56,0.39,5.85,8.43,,,,
August,,,,,,-999,4.83,3.08,5.19,2.54,8.16,3.82,11.71,1.51,5.29,4.55,,,,
September,,,,,,2.04,1.45,1.45,2.72,1.72,0.19,2.94,1.5,3.6,3.38,2.42,,,,
October,,,,,,3.4,8.67,9.17,2.3,10.01,7.45,5.27,6.71,4.59,2.59,3.93,,,,
November,,,,,,7.62,5.15,4.95,2.7,2.72,7.18,7.28,3.91,6.7,6.19,3.28,,,,
December,,,,,,2.24,5.01,7.58,5.89,8.04,10.57,14.21,8.47,3.31,10.98,11.19,,,,
Total,,,,,,43.38,54.13,52.78,43,49.88,64.45,54.52,65.6,50.32,59.49,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge at the Rectory,,,,,,,,,,,,,,,,,,,,
1905 July-Sept bracketed,,,,,,,,,,,,,,,,,,,,
1915 Note says values clearly wrong and replaced with estmates,,,,,,,,,,,,,,,,,,,,
