CARTMEL HOLKER HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD359778,Long,-2.9833,Lat,54.1926,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,4.26,6.52,7.69,5.22,3.61,0.6,3.29,3.55,2.21,5.19,5.97,2.81,4.38,5.07,3.18,3.86,5.69,5.21,2.91,5.06,4.34,2.13,8.19,5.71,4.61,6.67,2.63,7.87,4.18,2.21,0.49,0.64,3.74,6.87,7.21,2.27,4.58,2.97,2.07,2.94,6.21,2.63,4.31,1.24,3.54,2.65,3.09,1.38,4.23,5.19,5.71,2.63,2.85,4.35,5.9,2.44,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,4.72,2.78,5.05,1.56,2.32,1.65,4.43,2.93,0.09,3.35,3.29,5.29,0.44,1.69,3.75,3.59,4.26,2.85,3.65,6.13,2.16,4.37,4.68,1.06,2.34,1.37,4.52,3.59,2.59,3.45,3.32,4.79,3.54,2.8,2.66,4.1,1.91,2.11,0.86,2.64,0.74,0.31,1.74,5.92,7.34,0.44,2.84,2.65,3.6,3.15,4.15,1.03,1.95,3.55,4.08,2.26,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.57,0.96,3.94,0.29,2.09,2.04,2.43,0.45,2.68,2.52,5.22,5.03,5.65,4.87,1.3,4.35,2.05,2.96,1.71,5.11,1.22,2.28,2.23,4.21,3.83,3.08,1.08,3.42,3.56,1.94,2.08,2.72,5.15,3.54,1.1,3.42,4.97,4.89,2.07,2.87,2.67,4.14,1.73,1.18,2.01,2.92,4.25,6.55,4.93,1.29,2.24,0.26,3.14,2.96,3.76,4.14,3.22,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.38,4.22,1.77,1.61,2.45,0.69,1.31,2.12,1.73,2.69,4.94,1.45,0.86,3.85,2.15,2.18,0.99,1.38,4.23,2.74,2.64,1.6,3.79,1.83,0.62,0.98,1.35,2.85,2.63,2.25,1.9,1.59,2.29,4.78,3.2,1.18,1.96,2.95,2.07,1.26,2.56,1.78,2.25,1.78,0.77,1.35,2.85,1.46,2.67,3.33,3.98,2.98,2.56,1.49,1.66,3.95,4.61,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.4,2.31,1.01,3.07,1.1,1.78,1.61,1.82,2.17,2.1,0.24,2.53,1.29,4.42,3.22,2.92,5.34,1.38,2.05,2.17,3.4,2.79,1.81,1.68,2.47,1.23,2.5,0.33,3.14,3.87,1.5,2.11,3.85,2.66,1.2,2.82,1.86,5.98,1.53,1.28,2.99,3.14,1.77,5.08,2.8,2.93,0.63,0.53,1.84,3.13,3.52,2.32,1.68,3.07,5.5,2.71,1.58,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.36,3.96,4.06,3.75,2.96,3.08,3.47,4.93,3.99,1.9,2.35,5.24,2.78,3.39,4.1,4.01,0.7,2.75,1.6,0.67,2.01,1.88,2.25,4.95,2.45,1.62,3.98,4.35,2.28,3.67,5.02,3.5,4.34,4.08,3.22,1.58,1.65,2.27,0.31,1.51,1.11,3.87,1.26,2.6,1.49,4.12,2.19,2.95,4.24,4.48,1.87,4.04,2.06,1.31,4.78,1.45,2.66,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.46,4.7,5.5,2.64,6.08,2.54,3.5,2.52,3.07,4.34,1.96,1.11,5.5,3.99,0.93,3.16,2.29,2.73,4.89,0.53,1.31,1.56,4.93,5.95,4.46,2.15,2.52,3.75,4.5,0.48,6.4,5.1,6.83,6.63,1.98,6.41,3.3,7.04,1.69,7.38,3.43,3.58,3.09,1.92,4.45,3.1,6.8,4.45,1.53,0.3,3.04,3.04,1.12,3.54,4.32,4.08,2.1,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.49,5.23,3.63,6.28,2.74,4.51,4.09,4.54,2.67,2.43,5.05,6.19,7.41,3.5,4.09,3.29,5.56,5.78,3.29,6.03,2.38,1.97,3.19,4.86,5.81,7.16,3.54,3.57,5.66,6.28,4.16,1.34,6.71,5.07,4.23,1.48,2.05,2.91,2.62,3.67,5.64,5.26,8.63,8.06,4.9,4.25,4.12,2.75,4.78,7.82,0.99,6.76,4.3,4.09,6.68,3.99,5.81,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.63,2.42,2.17,3.49,2.94,2.28,1.76,3.62,2.88,4.91,6.36,1.89,5.35,2.26,6.2,4.15,1.58,8.74,4.36,2.94,8.86,3.65,3.78,9.16,2.81,5.01,6.06,4.49,3.43,4.62,4.42,5.07,2.74,2.66,4.82,4.99,5.62,5.4,4.31,1.32,2.99,5.29,6.42,6.82,5.26,0.36,1.3,6.28,4.78,2.18,5.28,3.04,1.57,2.4,7.87,2.61,3.58,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,6.51,4.97,4.3,3.17,5.28,4.06,6.71,2.08,2.29,4.99,2.83,7.17,3.33,9.11,5.84,3.45,6.34,2.64,4.94,5.04,3.57,11.3,6.36,6.53,6.52,8.59,5.29,3.76,7.95,4.23,2.6,1.61,2.77,3.98,4.39,3.4,4.97,7.73,2.58,4.14,5.24,3.07,4.01,4.89,6.12,4.53,5.83,4.03,2.94,6,3.61,8.12,4.27,4.05,9.42,3.52,3.44,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
