CARTMEL HOLKER HALL (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD359774,Long,-2.9833,Lat,54.1887,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,2.6,4.73,2.69,5.58,2.03,3.88,4.88,3.92,5.12,4.41,2.54,5.53,6.65,5.5,8.54,4.82,4.76,5.22,3.89,5.25,5,11.78,2.61,7.16,5.02,5.3,3.3,5.78,2.16,5.32,3.96,5.48,5.35,3.34,1.5,5.9,6.82,4.6,3.24,4.71,4.63,,,,,
February,,,,,,,,2.78,3.04,2.82,5.81,5.33,2.98,2.58,4.59,5.43,3.99,1.63,4.83,2.45,3.89,0.29,5.6,6.18,1.08,5.09,7.07,4.01,5,1.64,0.55,4.39,0.02,4.45,0.36,6.04,2.33,7.31,1.85,4.19,1.86,4.27,2.14,2.59,1.98,4.76,3.2,,,,,,
March,,,,,,,,5.11,3.83,4.37,1.91,1.49,5.83,4.52,4.78,2.24,1.93,2.45,2.15,5.88,5.74,4.5,2.53,1.64,3.58,1.47,1.75,3.6,4.31,1.05,3.17,0.53,4.16,3.6,2.74,1.5,2.59,2.14,1.88,2.35,4.64,3.31,3.35,1.51,0.53,3.35,1.8,,,,,,
April,,,,,,,,2.5,3.37,3.91,2.54,3.3,1.14,5.33,0.78,2.39,3,1.65,1.27,2.16,6.19,1.5,2.19,4.01,3.42,3.24,1.71,2.63,2.45,2.02,2.28,2.53,3.78,2.52,3.71,3.57,0.83,3.69,0.66,2.74,3.56,1.27,1.94,3.06,3.89,2.38,1.21,,,,,,
May,,,,,,,,5.92,4.33,2.35,1.93,1.8,2.47,3.32,2.35,1.41,4.33,3.38,2.66,2.09,5.26,3.01,3.55,3.3,5.64,6.97,3.26,2.48,1.65,2.51,2.1,3.01,6.6,2.65,4.42,0.72,1.38,2.24,4.36,1.07,1.41,3.95,3.48,4.65,3.38,4.25,1.41,,,,,,
June,,,,,,,,7.92,2.54,2.88,2.51,2.95,5.58,2.48,1.17,0.92,3.01,3.11,2.88,2.25,2.45,0.29,2.78,1.01,3.09,0.51,3.12,3.28,6,2.03,1.52,7.7,2.34,3.72,2.83,4.3,4.63,2.88,5.02,3.38,0.72,0.51,1.5,2.84,3.29,4.05,4.26,,,,,,
July,,,,,,,,3.19,3.91,6.57,3.16,0.7,6.46,0.95,5.43,5.47,2.46,2.02,4.41,1.01,6.78,2.48,5.31,4.65,4.68,2.76,4.57,4,5.75,4.01,3.4,5.96,5.39,3.5,2,1.42,5.04,3.4,5.84,6.65,5,1.89,4.6,4.04,3.5,3.68,4.68,,,,,,
August,,,,,,,,4.67,4.59,3.43,6.55,3.33,6.31,1.89,4.14,3.03,2.28,10.04,5.43,4.48,2.45,8.2,5.02,8.24,4.92,5.31,4.08,6.3,6.01,6.41,7,3.76,2.34,3.31,5.6,3.67,3.69,2.23,3.02,2.7,1.67,4.42,4.72,8.15,3.76,0.87,5.18,,,,,,
September,,,,,,,,0.8,5.35,3.32,0.61,4.67,2.65,2.5,3.62,0.87,3.73,3.9,11.82,4.26,3.34,2.75,5.03,6.03,6,3.95,5.19,7.46,3.12,2.35,2.43,1.86,5.9,0.84,5.74,9.09,6.1,4.14,2.64,2.27,4.91,1.82,4.71,6.04,6.71,4.29,6.76,,,,,,
October,,,,,,,,6.75,2.84,7.57,2.19,5.4,6.96,3.51,2.42,1.74,7.81,8.54,5.41,2.45,2.03,3.14,1.26,8.71,4.52,6.25,4.4,4.43,7.63,5.65,8.62,3.73,7.24,4.37,6.64,7.56,4.32,3.02,11.34,1.8,5.38,7.04,6.04,5.66,5.47,5.41,0.77,,,,,,
