TAUNTON-THE-MOUNT,,,,,,,,,,,,,,,,,,,,
Grid ref,ST229242,Long,-3.10039,Lat,51.0125,Elevation,96,ft,,,,,,,,,,,,
Station no,RR7943,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,5.89,1.75,2.71,5.44,4.57,2.36,3.37,,,,
February,,,,,,,,2.24,,2.76,1.8,1.19,3.81,2.52,2.77,2.84,,,,
March,,,,,,,,4.44,,1.56,1.36,1.45,2.47,3.63,0.51,0.95,,,,
April,,,,,,,,1.76,,0.61,0.49,3.46,3.34,0.84,2.14,1.47,,,,
May,,,,,,,,2.64,,4.61,0.98,0.64,2.21,0.93,0.99,2.46,,,,
June,,,,,,,,1.38,,1.06,0.53,2.38,2.85,1.54,1.04,2.83,,,,
July,,,,,,,,3.43,,0.72,0.74,2.19,3.94,2.28,0.99,3.84,,,,
August,,,,,,,,1.39,,0.4,2.35,1.32,1.71,4.51,2.33,2.3,,,,
September,,,,,,,,1.48,,3.4,1.22,5.38,2.41,2.07,5.98,2.77,,,,
October,,,,,,,,3.33,,2.73,4.17,3.07,4.73,2.27,3.63,6.61,,,,
November,,,,,,,,1.21,,1.8,2.74,1.21,4.57,2.98,2.22,4.94,,,,
December,,,,,,,,1.26,,3.95,1.89,2.44,6.05,0.46,2.97,0.73,,,,
Total,,,,,,,,,,29.49,20.02,27.44,43.53,28.6,27.93,35.11,,,,
,,,,,,,,,,,,,,,,,,,,
No 1 The Mount Taunton,,,,,,,,,,,,,,,,,,,,
1868 Observations lost,,,,,,,,,,,,,,,,,,,,
