TRENT-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK482338,Long,-1.2849042,Lat,52.899488,Elevation,120,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,2.68,1.03,0.81,3.1,2.08,1.01,2.5,1.5,2.92,1.25,1.18,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,1.4,,,,,,,
February,,,,,,,,,,1.73,1.38,1.03,2.29,0.8,1.51,1.34,2.28,1.52,1.12,2.88,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.7,0.97,1.24,,,,,,,
March,,,,,,,,,,2.29,1.5,1.12,1.78,1.68,1.01,0.57,2.72,2.05,0.73,0.72,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,0.45,1.23,1.87,,,,,,,
April,,,,,,,,,,1.77,0.64,3.41,2.34,0.77,0.83,0.62,,1.92,1.23,2.07,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,0.64,0.18,,,,,,,
May,,,,,,,,,,4.08,0.5,1.9,1.67,2.21,1.16,1.64,0.62,1.87,3.96,2.71,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,0.65,1.8,,,,,,,
June,,,,,,,,,,1.06,1.4,6.12,3.03,1.9,0.73,3.4,1.79,1.22,2.11,3.7,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.67,2.7,3.45,,,,,,,
July,,,,,,,,,,0.41,1.08,4.04,4.07,2.56,1.09,5.47,1.57,1.88,0.58,2.5,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.15,3.43,,,,,,,
August,,,,,,,,,,1.34,1.09,0.93,2.74,3.02,2.14,3.4,1.04,3.39,5.57,3.54,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.61,6,,,,,,,
September,,,,,,,,,2.18,3.94,0.91,4.73,2.44,1.7,2.16,3.25,4.18,1.46,1.27,3.05,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.07,1.17,,,,,,,
October,,,,,,,,,2.15,1.08,3.7,2.15,3.5,1.73,1.47,4.99,1.46,1.09,2.19,0.72,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,1.39,1.55,2.6,,,,,,,
November,,,,,,,,,0.9,1.77,1.64,0.9,2.66,2.14,2.3,3.5,2.94,1.55,2.29,1.05,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,3.22,1.77,1.43,,,,,,,
December,,,,,,,,,6.15,3.55,2.09,1.05,2.43,0.23,1.95,1.26,3.48,1.87,2.86,1.48,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,1.96,3.27,,,,,,,
Total,,,,,,,,,,25.7,16.96,28.19,32.05,20.82,17.36,31.94,,22.74,25.16,25.6,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83,27.84,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Trent College. Stated altitude is a little high but a note on the record says the gauge is located on an elevated part of the grounds and this might be 100 to 200m East of the NGR. Different observers between 1800s and 1900s and gauge position may differ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911 readings have a note ""not printed bad""!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
