TREDUNNOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST379948,Long,-2.898949,Lat,51.648549,Elevation,170,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,0.42,2.48,2.92,5.67,5.79,3.22,6.27,2.77,1.28,1.59,5.67,3.08,1.95,2.18,4.18,6.17,0.73,2.35,0.68,6.18,4.71,2.11,1.57,5.51,4.86,0.78,6.09,2.18,1.67,1.16,2.9,1.03,,5.42,1.09,,,,,
February,,,,,,,,,,,3.61,5.26,3.3,4.48,4,4.48,0.81,0.93,1.47,0.98,0.48,0,2.22,5.34,2.67,0.17,0.52,3.09,1.2,3.67,8.59,0.8,1.98,2.27,5.93,0.81,3.4,1.71,1.27,0.49,4.54,2.93,,2.15,3.89,,,,,
March,,,,,,,,,,0.99,2.31,3.47,2.2,0.83,3.64,1.55,4.19,1.87,4.5,4.43,1.09,3.58,1.26,0.28,3.21,3.56,3.28,4.05,0.74,1.37,1.06,2.42,2.14,4.61,1.8,5.48,1.72,1.37,3.22,4.72,1.47,2.2,,5.17,4.59,,,,,
April,,,,,,,,,,2.89,2.34,0.76,4.66,0.83,1.39,2.5,2.65,1.34,1.25,4.32,1.37,2.36,0.87,0.27,1.96,2.65,0.46,4.46,1.98,4.05,1.4,4.26,2.2,2.15,1.51,2.92,0.75,3.14,2.85,2.23,2.1,1.77,,4.77,1.98,,,,,
May,,,,,,,,,,3.1,1.81,2.68,2.51,1.82,1.56,3.28,6.36,2.34,2.22,3.44,2.32,4.85,1.58,2.52,3.18,0.21,0.3,1.66,3.52,2.99,2.38,1.38,1.92,4.43,2.38,0.18,2.76,2.9,1.95,1.29,1.77,2.13,,2.73,2,,,,,
June,,,,,,,,,,7.01,2.34,3.62,4.21,2.97,2.55,2.6,0.5,0.72,3.87,0.54,2.22,3.74,2.03,0.64,2.04,2.01,1.91,3.28,1.54,1.93,1.53,2.37,2.93,2.51,1.02,3.43,3.39,3.12,1.7,1.83,4.25,3.27,,1.15,1.8,,,,,
July,,,,,,,,,,3.54,7.33,3.61,4.96,3.85,5.11,1.35,4.21,1.71,5.88,4.51,3.41,2.4,3.13,4.67,5.31,3.72,1.88,1.53,0.24,0.39,1.79,2.67,1.43,3.18,3.32,0.57,0.56,2.4,2.8,2.26,2.18,0.11,,0.15,5.33,,,,,
August,,,,,,,,,,7.36,0.44,5.79,3.82,1.59,2.13,2.57,1.83,1.96,2.43,3.98,3.1,8.63,4.6,2.29,3.67,3.92,1.85,7.01,3.59,2,3.58,3.2,3.66,5.19,2.43,4.24,2.11,2.68,4.97,2.33,5.94,3.18,,1.07,2.32,,,,,
September,,,,,,,,,,5.1,4.18,1.84,3.81,6.57,1.83,6.05,2.72,3.73,1.02,2.95,1.27,1.68,3.23,1.6,2.93,1.35,7.18,3.85,2.46,2.46,1.12,2.63,3.27,4.14,2.31,2.31,0.73,0.62,2.58,3.99,0.28,1.49,0.69,3.71,1.43,,,,,
October,,,,,,,,,,1,6.07,2.68,6.49,2.83,1.06,3.6,5.24,2.24,1.38,3.26,1.05,7.86,2.85,3.31,5.15,3.53,4.22,2.01,7.07,3.09,5.18,1.42,3.35,9.7,0.79,2.28,6.76,6.91,2.7,6.22,4.64,3.16,4.69,3.94,2.66,,,,,
November,,,,,,,,,,0.61,4.57,5.91,4.8,5.11,2.41,4.94,4.33,3.6,7.75,1.3,3.25,3.95,3.22,1.45,5.3,6.62,1.01,3.8,4.37,3.97,3.5,0.86,3.75,1.35,1.69,4.03,3.18,3.48,1.42,2.07,4.98,5.99,2.34,4.25,5.15,,,,,
December,,,,,,,,,,1.81,3.91,3.17,3.75,0.78,5.26,1.91,4.22,2.88,4.5,1.78,1.14,5.08,1.49,4.77,3.35,3.56,6.08,5.94,4.36,2.68,7.39,6.18,3.64,3.76,3.14,0.9,1.19,6.64,3.84,7.06,5.12,7.43,6.09,1.07,7.59,,,,,
Total,,,,,,,,,,,39.33,41.27,47.43,37.33,36.73,38.05,43.33,26.09,37.55,33.08,26.37,47.21,28.43,29.32,42.95,37.47,29.42,43.03,31.75,34.78,42.23,30.3,31.84,48.8,31.18,27.93,32.64,37.15,30.97,35.65,40.17,34.69,,35.58,39.83,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is in Tredunnock Rectory, as named in 1910s record; the observer is a vicar. Altitudes match ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
