"EARLSBURN RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5353,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,9.70,11.19,4.20,3.57,5.45,7.50,9.96,6.30,10.50,3.58,10.09,
February,8.65,1.75,6.35,6.90,1.46,7.05,8.30,2.24,8.80,3.10,0.25,
March,6.50,8.95,4.21,3.65,1.58,1.10,4.01,5.60,8.48,1.00,5.41,
April,3.40,1.66,3.40,4.15,3.30,7.90,3.80,3.87,3.80,2.28,2.08,
May,5.70,4.30,5.25,1.70,7.56,8.74,4.27,3.33,2.15,5.55,2.70,
June,2.30,0.50,2.35,2.17,2.88,1.06,4.51,5.32,8.15,3.25,3.20,
July,5.95,5.40,5.80,5.90,6.39,1.82,3.87,4.89,5.10,5.00,6.23,
August,7.20,8.40,4.29,7.74,4.56,6.25,4.54,8.05,7.25,8.10,8.49,
September,3.25,3.55,3.74,7.29,7.34,5.04,3.88,7.25,6.70,1.48,7.75,
October,2.62,5.34,2.44,7.45,4.57,5.26,5.15,10.23,11.29,8.02,9.50,
November,7.55,4.59,4.35,2.05,5.42,1.92,12.03,7.33,10.50,11.79,8.90,
December,6.76,10.50,5.32,2.18,11.52,5.72,2.25,2.30,6.05,13.27,5.82,
Total,69.58,66.13,51.70,54.75,62.03,59.36,66.57,66.71,88.77,66.42,70.42,
Calc annual,69.58,66.13,51.70,54.75,62.03,59.36,66.57,66.71,88.77,66.42,70.42,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
