EARLSBURN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS702893,Long,-4.087144,Lat,56.078839,Elevation,1205,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.8,8.9,,3,2,4.15,7.7,6.5,3,5.1,11.3,5.2,2.4,9.7,4.5,8.1,8.15,4.24,5,6.5,5.4,5.17,4.07,9.27,1.83,6.3,3.9,9.7,11.19,4.2,3.57,5.45,7.5,9.96,6.3,10.5,3.58,10.09,3.63,11.08,5.57,11.53,2.27,8.21,7.5,10.06,6.26,3.5,2.42,7.75,7.55,8.19,3,8.6,8.81,8.85,9.66,4.5,4.13,4.76,2.61,6.3,3.85,5.2,10.2,6.63,1.93,5.81
February,,,,6.1,14.8,,2.6,6.5,3,3.7,3.3,1.51,2,8.5,4.63,2.5,3.08,5.5,2.7,2.4,5.1,9.15,6.3,5.4,6.91,7.3,4.2,1.2,6.9,1.7,8.65,1.75,6.35,6.9,1.46,7.05,8.3,2.24,8.8,3.1,0.25,5.1,0.07,6.16,0.75,7.01,3.83,5.98,3.39,7.77,5.04,5.42,2.75,6.27,2.86,9.8,5.07,2.5,7.26,6.93,8.42,3.49,1.71,2.66,5.78,3.62,2,5.57,3.2,2.52,5.86
March,,,,1.7,4.5,,4.1,6.5,1.83,3.6,2.5,2.55,3.57,10.9,3.17,6.2,5.01,6.13,7.1,4.5,3.87,2.56,7.7,7.7,7.25,4.43,3.88,2.25,2.35,2.25,6.5,8.95,4.21,3.65,1.58,1.1,4.01,5.6,8.48,1,5.41,1.63,2.7,4.12,4.58,2.38,4.7,4.25,6.11,5.15,5.43,2.73,3.73,4.04,0.93,6.64,4.96,5.8,7.47,2.45,4.46,5.01,6.19,1.67,4.76,2.51,3.19,6.47,2.94,3.88,3.05
April,,,,1.4,2.8,4.7,1.8,3.4,4.3,4.75,3.28,4.35,2.05,1.27,5.6,3.25,2.12,3.58,1.9,5.15,5.45,4.7,2.5,4.82,4.2,3.5,4.53,1.58,1.55,2.25,3.4,1.66,3.4,4.15,3.3,7.9,3.8,3.87,3.8,2.28,2.08,3.2,5.68,2.37,6.15,5.13,2.2,3.4,1.01,3.24,4.79,2.81,4.71,5.49,4.57,4.5,2.45,11.46,5.83,6.26,5.11,4.23,2.65,3.52,2.41,2.65,1.1,2.65,1.94,4.47,5.8
May,,,,2.7,4.7,1.1,0.9,3.2,2.64,5.62,3.42,2.93,3.15,3.3,4.8,2.9,7.16,6.85,3.95,5,1.38,3.45,2.4,5.4,2.87,2.08,6.62,4.48,2.95,1.48,5.7,4.3,5.25,1.7,7.56,8.74,4.27,3.33,2.15,5.55,2.7,5.48,4.63,3.75,2.79,0.43,1.32,3.19,5.92,0.84,1.47,4.38,4.14,4.7,4.4,7.48,2.1,4.68,2.33,2.7,2.9,2.51,2.34,4.5,6.14,4.51,3.62,3.6,4.85,1.67,4.27
June,,,,3.9,4.2,2.7,6.7,6.09,2.9,3.5,6.3,4.63,2.2,3.4,3.17,1.3,2.25,7.5,4.05,3.06,1.3,4.12,7.1,5.5,1.5,1.95,4.38,3.95,1.65,3.97,2.3,0.5,2.35,2.17,2.88,1.06,4.51,5.32,8.15,3.25,3.2,6.28,1.38,1.69,3.67,7.89,2.41,4.05,7.86,3.42,1.03,1.27,2.28,5.05,4.52,7.77,6.63,3.4,7.41,2.13,2.75,2.88,5.06,2.29,4.08,2.6,4.77,2.62,5.2,2.84,3.15
July,,,,4,3.3,6.1,5.6,2.5,1.57,3.74,3.4,3.6,4.7,3.4,3.73,2.8,3.45,3.97,4.5,5,6.55,3.2,3.3,1.17,3.5,4.02,4.7,1.75,3.3,1.4,5.95,5.4,5.8,5.9,6.39,1.82,3.87,4.89,5.1,5,6.23,6.18,5.28,4.41,4.03,1.73,6.62,4.56,6.24,8.2,6.03,3.93,3,3.37,4.06,5.91,6.01,5.5,6.13,3.72,7.9,5.12,3.01,7.3,3.26,1.58,6.76,6.15,7.76,6.33,5.66
August,,,,4.9,5.7,9.1,3.2,7.42,4.7,1.85,4.9,4.5,3.62,7.75,7.3,7.64,6.1,8.15,7.25,4.35,11.5,4.5,6.45,2.45,5.9,3.92,4.84,6.65,4.3,3.68,7.2,8.4,4.29,7.74,4.56,6.25,4.54,8.05,7.25,8.1,8.49,3.6,2.14,3.62,6.47,2.82,3.49,3.69,2.71,2.45,2.4,5.29,8.62,9.02,4.6,4.46,5.65,0,13.55,6.48,8.2,8.85,7.71,4.05,6.09,1.5,7.71,5.55,6.52,1.97,4.94
September,,,,3.3,0.7,3.3,7.3,4.3,5.8,5.06,5.3,5.43,4.2,4.5,6.3,3.5,3,1,9.25,3,1.5,3.12,3.5,3.76,2.78,2.9,1.9,4.15,8.3,4.38,3.25,3.55,3.74,7.29,7.34,5.04,3.88,7.25,6.7,1.48,7.75,2.11,4.82,1.84,7.25,7.87,5,4.41,6.36,2.68,3.21,2.14,8.01,4.61,6.05,8.62,10.24,7.03,9.81,3.4,12.87,5.02,4.02,7.09,8.21,5.43,7.39,4.35,5.43,1.53,4.3
October,,,,7,5.4,3.8,3.3,3.74,5.85,5.6,6.8,5.18,4.45,11.6,3.4,4.14,7.4,9.3,2.9,10.84,3.24,5.8,7.55,4.85,2.66,5.98,10.13,8.55,9.5,1.3,2.62,5.34,2.44,7.45,4.57,5.26,5.15,10.23,11.29,8.02,9.5,4.92,7.46,4.93,9.37,13.98,6.67,5.3,11.63,4.94,7.66,6.37,7.02,12.09,7.37,10.27,1.18,4.84,8.15,7.92,5.73,1.31,6.47,4.1,11.53,4.84,5.89,5.71,6.4,5.25,5.85
