PENTLAND HILLS (HARPERRIG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT102611,Long,-3.435317,Lat,55.834742,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,1.2,2.3,2.5,4.2,4.9,2.8,5.6,1.7,1.8,1.2,4.1,1.8,3.78,1.58,5.47,3,2.12,2.4,2.2,6.01,5.2,2.7,2.6,8.1,3.35,1.22,5.04,2.24,4.55,4.4
February,2.9,2.3,2.2,1.2,2.8,3,2.7,1.5,1.6,1.8,0.96,0.2,4.69,4.56,11.98,2,2.4,2.9,2.7,2.03,3.1,2.6,1.5,7.7,3.08,1.98,1.87,2.04,2.12,2
March,2.2,2.4,4.1,1.7,2.4,2.6,2,2,5.5,1.9,3.1,4,3.29,3.5,3.9,5.18,4.18,4.8,2.7,4.01,1.3,3.6,3.11,9.37,1.78,5.05,3.32,2.05,5.05,5.7
April,4.6,0.8,3.7,1.6,1.2,2.3,2,1.9,2.6,2.9,1.1,0.7,1.75,1.27,2.7,2.3,2.02,2.4,2.5,4,2.5,2.7,2.2,1.5,4.08,2.58,1.44,1.91,1.95,3.1
May,1.8,2.4,2.9,1.4,2.9,3.3,4.4,2.1,1.9,1.6,2.5,2.22,4,1.8,4.56,1.27,0.81,2,2.6,4.05,2.1,2.6,2.7,2.46,3.83,1.53,5.49,3.54,2.7,2.95
June,1.8,2.5,3.9,2.8,1.3,0.6,2.6,0.6,2.3,0.9,4.9,1.31,4.6,4.8,3.1,2.54,3.89,4.2,2.7,1.6,3.5,2.5,2.4,1.51,2.93,1.08,2.28,3.67,1.71,2.78
July,3.7,3.7,3.1,4.5,5.1,1.2,2.9,3,6.4,2.4,4,2.52,1.6,3.31,2.64,4.63,5.4,2.07,1.4,3.9,3.7,1.4,3.7,4.06,2.62,3.16,2.05,3.59,2.73,4.35
August,0.6,5.9,1.2,3,1.8,1.7,1.6,2.5,2,3.2,4.8,7.51,5.51,4.1,5.36,5.55,2.3,3.39,4,0.8,3.9,4.8,1.5,4.18,4.08,4.05,6.76,4.49,3.26,2.45
September,4.4,4.2,3.2,3,3.2,4.1,3.2,4.2,0.9,1.6,2.3,7.73,3.58,2.24,0.59,1.47,5.61,2.8,4.1,3.1,4.1,2.3,2.8,2.46,1.64,3.41,1.05,1.65,4.45,2.55
October,3.6,2.8,2.7,2.7,2.2,2.9,5.4,2.2,2,5,3.2,4.9,5.55,3.56,3.96,4.19,5.53,1.5,5,3.5,5.1,3.3,2.5,7.55,1.79,2.59,7.6,10.47,1.12,6.28
November,5.2,2.7,3.9,3.3,2.1,2.1,3.1,5.5,6.1,1,5.9,3.64,3.1,2.72,3.86,5.15,1.7,3.2,5.6,4.7,6.7,3.8,1.7,2.46,1.6,4.12,5.1,2.14,2.41,1.6
December,2.8,2.9,4.9,2,4.7,1.6,3.3,2.7,1.6,3.1,2.4,9.4,2.56,4.39,3.64,5.27,6.5,6,5.4,4.3,7.2,4.2,4.6,2.16,3.81,2.49,1.58,4.84,1.65,4.35
Total,34.8,34.9,38.3,31.4,34.6,28.2,38.8,29.9,34.7,26.6,39.26,45.93,44.01,37.83,51.76,42.55,42.46,37.66,40.9,42,48.4,36.5,31.31,53.51,34.59,33.26,43.58,42.63,33.7,42.51
