"PENTLAND HILLS (HARPERRIG)",,,,,,,,,,,,
Grid ref,NT102611,Long,-3.435317,Lat,55.834742,,,,,,,
Station no,5126,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.18,2.64,0.78,3.24,2.12,1.54,3.77,2.52,0.92,2.78,,
February,3.88,0.51,1.06,2.04,1.67,1.74,2.90,2.05,0.73,2.58,,
March,4.02,1.44,0.60,2.18,1.35,2.24,2.47,1.32,1.24,1.45,,
April,3.12,1.88,3.18,1.38,0.94,0.70,1.44,2.39,2.28,1.70,,
May,3.09,1.50,2.51,5.73,2.98,1.60,2.19,2.94,1.84,1.41,,
June,1.76,2.87,1.94,2.45,1.19,2.80,2.18,3.24,2.13,1.04,,
July,2.84,2.72,4.92,2.33,2.25,5.44,4.54,5.54,3.13,2.99,,
August,5.80,3.36,2.41,6.22,1.60,5.87,5.38,3.83,0.75,3.84,,
September,1.61,2.67,3.09,4.57,2.19,4.00,1.98,5.15,0.66,1.62,,
October,0.76,2.28,1.78,6.53,2.20,2.27,3.35,1.91,3.16,3.92,,
November,5.68,3.36,5.36,5.29,1.24,1.16,1.87,1.29,6.41,3.76,,
December,3.90,3.64,3.68,4.41,5.57,4.01,4.32,5.73,3.50,3.96,,
Total,40.64,28.87,31.31,46.37,25.30,33.37,36.39,37.91,26.75,31.05,,
Calc annual,40.64,28.87,31.31,46.37,25.30,33.37,36.39,37.91,26.75,31.05,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
