BIGGIN-HILL-AIRFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ411605,Long,0.023717,Lat,51.326105,Elevation,556,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.39,2.44,4.7,1.13,3.43,1.97,2.46,1.86,2.38,1.37,5.99,6.13,3.39,5.59,1.93,,,,,,,,,1.53,1.16,3.14,2.71,1.19,1.55,3.52,4.28,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.72,4.67,1.75,1.14,1.11,1.99,0.5,2.02,0.31,4.17,2.09,4.97,0.8,1.64,2.03,,,,,,,,1.71,1.5,5.25,7.73,0.95,1.77,2.57,1.87,0.56,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.92,0.31,3.76,2.81,0.06,1.59,0.28,1.4,3.72,2.6,0.3,1.3,3.8,0.51,1.59,3.39,,,,,,,,0.96,0.85,1.44,3.85,2.72,0.41,2.28,1.18,1.11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.59,5.18,2.03,2.13,1.09,1.81,4.2,2.53,0.74,3.02,3.23,1.96,2.92,0.46,2.87,2.54,,,,,,,,1.81,1.75,3.41,3.24,1.59,2.56,0.31,0.29,1.33,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2,1.59,1.48,3.08,2.18,4.05,3.34,3.99,2.54,0.73,1.49,0.51,2.5,2.3,2.06,1.74,,,,,,,,2.28,1.69,1.79,2.47,1.32,1.72,2.41,4.74,0.42,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.26,4.25,3.71,3.55,0.98,0.63,1.54,1.17,1.81,1.45,3.26,3.32,2.63,0.58,1.06,0.49,,,,,,,,4.04,1.06,1.67,1.21,1.26,1.8,4.93,2.62,3.89,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.93,2.06,3.65,2.41,2.53,2.65,3.27,2.73,1.95,2.4,1.21,4.27,0.89,1.83,2.92,3.39,,,,,,,,1.51,0.76,2.49,2.08,0.83,3.34,2.98,0.06,4.75,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.34,3.34,5.43,3.68,2.46,3.46,4.92,1.18,0.69,1.93,3.17,0.67,1.52,2.17,4.45,0.06,,,,,,,,5.57,1.43,1.74,3.96,4.16,1.63,2.83,1.44,3.83,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.23,1.93,5.66,0.75,0.05,4.34,1.75,1.62,2.74,1.75,4.32,2.22,2.15,2.39,1.35,,,,,,,,,1.64,0.72,3.42,2.88,3.19,3.63,2.37,2.16,2.87,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.98,3.14,2.13,5.83,4.4,1.83,0.9,6.43,2.04,2.58,3.83,2.57,3.3,3.5,7.7,,,,,,,,,1.94,7.14,0.39,1.11,3.3,4.59,2.2,4.85,1.3,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
