SCALBY ST PHILIPS,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA016906,Long,-0.440,Lat,54.301,Elevation,130,ft,,,,,,,,,,,,,,,,,
Station no,3468,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936
January,,3.69,1.83,4.40,0.97,3.05,2.01,2.73,,,,,,,,,,,,2.46,1.03,1.37,1.16,2.38,3.91
February,,0.61,1.37,3.38,2.94,1.25,1.63,1.33,,,,,,,,,,,,2.10,0.85,3.91,2.28,2.87,2.02
March,,2.34,2.45,1.40,3.13,2.65,1.16,3.22,,,,,,,,,,,,0.93,2.13,1.65,2.10,0.50,0.85
April,0.29,2.20,0.77,1.12,1.20,2.85,1.30,1.70,,,,,,,,,,,,3.04,1.98,1.05,2.32,2.55,1.05
May,2.99,2.37,1.74,1.53,3.25,1.31,2.06,0.84,,,,,,,,,,,,2.31,6.82,1.40,1.14,1.23,1.84
June,3.88,1.15,1.61,0.35,2.47,1.55,0.43,1.16,,,,,,,,,,,,3.86,0.54,1.51,1.13,1.72,1.69
July,4.61,0.87,4.56,6.82,1.78,1.37,3.56,1.96,,,,,,,,,,,,2.97,2.16,1.14,1.71,0.27,3.07
August,3.92,0.92,2.64,2.49,2.89,7.01,2.50,2.23,,,,,,,,,,,,2.20,1.62,0.46,2.30,0.87,2.15
September,2.28,0.95,1.41,2.74,1.24,0.71,5.27,1.07,,,,,,,,,,,,4.30,2.48,1.21,1.40,3.38,1.89
October,3.62,2.73,1.58,1.41,3.64,3.46,1.17,4.53,,,,,,,,,,,,2.05,3.27,4.77,1.95,3.70,1.83
November,2.77,1.79,3.49,2.53,3.20,2.05,1.21,2.86,,,,,,,,,,,,2.11,1.36,2.41,2.64,3.85,2.17
December,1.44,1.40,4.59,5.50,4.22,1.45,4.54,2.85,,,,,,,,,,,,1.61,1.21,0.70,3.59,2.06,1.84
Total,,21.02,28.04,33.67,30.93,28.71,26.84,26.48,27.66,19.05,25.02,26.78,26.68,28.26,24.32,31.51,27.65,20.79,32.47,29.94,25.45,21.58,23.72,25.38,24.31
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/041,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING_TYRain_1920-1930_SCALBY_ST_PHILIPS-page-0.csv/000,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/046,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# The rainfall sheet for this gauge for the 1920-1930 decade is missing from the Met Office archive volumes.,,,,,,,,,,,,,,,,,,,,,,,,,
# Annual totals for 1920-1930 have been taken from British Rainfall almanacs.,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
"# The address for this location is 17 South Avenue, Scalby.",,,,,,,,,,,,,,,,,,,,,,,,,
