THELWALL-HIGHFIELDS-DAILY-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ654864,Long,-2.521516,Lat,53.373318,Elevation,118,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.13,3.15,1.58,0.55,0.36,2.54,3.67,3.22,1.53,4.22,2.08,1.24,1.07,2.8,1.77,3.07,1.05,1.76,2.53,1.15,1.3,1.6,2.98
February,,,,,,,,3.16,1.44,2.86,1.74,4.09,2.12,1.74,2.25,2.43,0.9,0.49,0.68,1.77,0.66,0.18,1.89,2.88,3.58,0.29,1.45,2.64,1.7,1
March,,,,,,,,2.08,1.24,1.28,1.75,3.07,1.72,1.22,2.21,1.96,1.72,1.51,1.97,1.9,2.27,1.35,0.83,0.51,2.12,2.94,3.45,2.53,0.68,1.46
April,,,,,,,,2.33,1.61,2.89,1.09,1.17,3.33,1.61,0.97,1.32,1.48,0.84,1.01,2.4,1.41,1.84,1.17,0.5,1.55,1.86,1.43,2.19,1.52,2.57
May,,,,,,,,2.74,4.29,2.24,2.22,3.25,1.73,0.81,1.66,1.9,6,1.95,0.64,2.93,2.11,2.51,2.83,2.04,2.1,0.41,0.36,1.9,3.73,2.13
June,,,,,,,,1.1,2.55,4.23,2.88,2.15,5.14,4.02,1.02,2.54,1.68,1.18,2.5,1.08,2.97,2.77,3.3,1.43,2.26,2.81,2.03,2.89,2.62,2.04
July,,,,,,,,6.49,0.71,2.92,4.24,3.52,4.84,2.75,2.85,1.4,2.67,1,5.5,3.88,1.96,2.63,2.61,3.47,2.72,4.58,2.03,1.57,0.47,1.68
August,,,,,,,,4.78,4.76,4.35,2.29,3.82,2.95,1.93,1.62,1.91,1.7,1.74,2.78,5.03,3.64,5.2,3.61,2.28,3.64,3.11,2.43,2.9,4.35,1.14
September,,,,,,,,2.99,3.57,3.51,3.37,2.02,1.9,4.84,2.76,3.87,4.38,4.3,0.99,2.73,1.08,3.25,3.47,3.62,1.14,1.72,5.04,4.24,0.67,3.77
October,,,,,,,,3.43,3.23,1.55,3.47,2.87,3.07,4.97,1.46,5.38,5.15,1.92,1.11,2.66,1.81,3.71,4.51,3.03,2.92,3.55,4.23,1.95,3.57,3.34
November,,,,,,,,5.19,1.84,0.86,3.56,2.9,5.15,3.06,1.9,2.89,2.22,1.12,4.67,2.57,5.1,2.67,2.1,1.41,1.76,2.87,1.19,4.12,1.68,1.04
December,,,,,,,,2.84,2.07,1.64,5.41,3.62,4.06,1.94,2.9,1.66,4.07,2.6,1.94,2.31,0.45,4.84,1.95,3.16,2.42,2.39,3.97,3.45,2.45,2.57
Total,,,,,,,,41.26,30.46,29.91,32.57,32.84,38.55,32.56,24.82,28.79,36.19,20.73,25.03,30.33,26.26,32.72,31.34,25.38,27.97,29.06,28.76,31.68,25.04,25.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Highfields. Altitudes nearly match, within 10ft. Long/lat on 1890s record is adjacent to NGR used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two gauges running in parallel and there is significant duplication between the gauges, however, the readings are generally within 0.01 or 0.02 inches of each other so the duplication may be coincidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
