DUNFORD BRIDGE (BROWN'S CLOUGH),,,,,,,,,,,,
Grid ref,SE145004,Long,-1.782879,Lat,53.500100,,,,,,,
Station no,3154/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.15,9.00,3.05,6.40,5.55,8.15,5.95,7.60,6.60,8.90,,
February,8.00,3.40,3.00,7.50,4.20,3.30,5.90,9.80,0.70,4.70,,
March,8.20,3.75,4.15,6.05,4.90,3.05,5.00,4.45,2.90,3.00,,
April,4.10,3.70,4.60,1.25,2.85,3.45,0.70,2.25,6.80,4.00,,
May,4.10,3.25,3.00,5.15,5.70,1.85,2.00,4.90,1.85,2.65,,
June,1.20,3.60,5.10,3.65,4.30,4.35,1.70,6.35,2.30,2.75,,
July,3.85,3.15,7.10,6.80,1.35,10.50,5.95,5.75,4.85,8.30,,
August,7.30,3.80,5.40,7.55,1.05,12.30,7.75,4.75,1.00,5.90,,
September,4.45,6.80,4.00,6.75,2.70,5.60,8.60,5.35,0.30,4.55,,
October,1.40,8.25,3.40,10.35,4.70,4.30,7.70,5.05,5.50,8.50,,
November,12.95,4.30,5.40,10.45,3.50,3.45,3.85,1.95,7.45,8.70,,
December,11.20,5.85,3.30,13.00,8.75,9.30,9.10,6.65,12.10,7.50,,
Total,74.90,58.85,51.50,84.90,49.55,69.60,64.20,64.85,52.35,69.45,,
Calc annual,74.90,58.85,51.50,84.90,49.55,69.60,64.20,64.85,52.35,69.45,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
