"KIRKBY MALZEARD DROVERS INN - 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE213722,Long,-1.675424,Lat,54.145193,Elevation,576,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.21,2.22,1.68,1.47,5.59,6.17,1.05,1.88,1.67,5.31,4.21,2,1.6,3.24,2.89,1.85,5.62,1.83,2.99,1.67,6.33,2.31,6.25,6.62,2.07,6.19,3.4,4.31,3.31,5.53,4.6,6.18,7.18,1.96,3.12,4.61,6.52,3.22,8.82,1.86,6.65,2.4,4.79,3.65,2.76,1.67,5.97,4.74,5.85,6.49,1.37,4.54,3.5,5.55,3.79,4.49,3.66,3.41,8.8,1.27,2.12,3.03,3.23,0.67,2.75,2.75,4.85,3.86,4.34,4.02,5.38
February,0.97,0.07,2.97,5.39,6.2,0.72,0.68,3.27,2.29,2.12,5.15,1.52,1.61,3.8,4.01,2.8,2.8,2.49,2.46,1.3,3.8,3.76,2.75,2.05,3.51,5.74,3.85,1.02,5.12,3.02,2.46,0.2,4.42,7.77,1.07,5.64,3.77,2.1,4.84,1.38,1.67,3.53,0.6,5.84,0.3,5.23,3.37,5.58,1.47,2.9,3.9,5.48,3.55,2.17,1.94,4.47,3.09,6.85,2.46,2.35,6.57,3.43,0.49,2.5,3.17,2.29,2.22,3.07,5.17,0.14,3.43
March,2.85,1.76,0.98,1.16,3.12,3.09,4.09,5.91,1.27,1.51,0.85,3.34,1.3,4.34,2.61,4.34,2.75,2.85,5.03,5.37,0.68,2.15,3.98,5.86,3.16,1.09,4.72,2.87,1.39,4.28,3.5,2.53,3.08,1.82,2.08,0.86,0.97,2.84,4.56,0.34,3.33,0.82,2.6,2.38,3.25,0.94,2.56,3.48,0.38,2.85,2.2,3.57,3.02,1.45,0.47,0.99,1.45,7.73,2.31,1.45,1.68,4.15,2.37,0.6,2.82,2.25,1.57,2.39,2.38,2.23,2.9
April,1.3,3.34,1.54,0.66,3.24,2.47,1.55,2.21,3.37,2.76,1.84,2.01,1.81,1.36,2.18,3.42,0.6,1.87,2.43,3.56,3.18,1.62,0.54,4.28,1.13,1.36,1.99,2.75,0.77,2.08,6.62,1.14,3.33,3.18,2.1,3.71,1.57,2.09,0.72,1.63,3.91,4.19,3.5,1.29,3.66,3.18,1.34,3.78,0.21,1.48,2.51,2.39,1.69,2.08,3.02,2.16,2.01,5.22,2.65,3.48,3.19,1.83,1.87,3.07,0.63,0.78,2.13,0.32,0.84,4.53,1.88
May,2.57,2.81,3.14,2.53,2.13,0.48,0.62,1,2.37,4.04,1.91,1.3,2.41,5.39,3.29,1.02,3.51,4.46,3.14,1.98,2.28,1.91,2.81,2.38,1.91,2.19,3,1.86,4.01,2.24,3.48,2.97,0.75,2.84,6.87,4.76,2.01,1.65,2.3,2.11,1.41,3.65,5.12,3.41,2.52,1.19,1.57,2.99,2.99,1.26,1.36,1.93,2.95,2.99,0.99,4.04,3.75,2.71,1.38,1.45,1.78,7.29,1.95,1.79,5.37,3.01,0.83,1.58,5.13,0.83,2.62
June,3.51,1.02,4.57,1.82,3.43,2.7,3.02,2.5,2.25,1.57,2.93,1.88,1.79,2.1,1.57,1.36,1.03,5.95,1.95,2.06,2.32,2.64,6.48,2.15,1.22,0.3,2.86,2.63,0.68,1.22,1.98,0.33,1.69,0.97,2.47,0.07,3.75,3.1,4.6,0.98,2.22,4.75,1.19,1.29,1.68,3.53,5.42,1.99,4.07,3.17,0.68,0.25,0.97,2.4,3.63,3.05,2.41,3.9,4.29,1.25,1.12,1.17,1.35,2.7,2.04,2.43,3.53,1.45,4.34,1.44,1.22
July,1.62,3.62,1.45,2.33,3.14,5.09,1.88,1.38,1.09,2.43,1.83,2.55,1.82,2.69,2.32,0.33,0.7,1.83,3.23,3.97,2.22,0.34,4.41,0.93,2.93,4.04,2.63,1.15,4.03,1.95,6.92,1.61,6.05,3.28,5.98,1.11,2.75,5.81,0.76,3.14,5.31,5.01,4.1,2.64,0.97,0.48,4.14,1.77,4.59,5.11,5.15,2.1,2.95,1.96,2.56,2.33,3.09,2.4,1.04,2.03,3.39,1.64,1.41,3.19,2.31,1.07,5.87,3.61,3.58,2.23,5.03
August,3.82,5.17,4.2,3.33,2.44,2.75,1.86,4.03,3.07,1.7,5.81,1.84,3.05,3.77,3.83,4.27,4.09,2.43,2.82,3.57,5.89,3.13,6.52,1.49,1.59,2.82,1.6,8.11,3.08,2.95,1.66,4.77,4.28,4.78,3.36,2.52,2.91,8.69,3.38,3.05,3.87,4.09,1.61,0.32,2.4,1.69,2.4,1.1,3.9,2.06,0.53,2.75,3.04,3.72,2.15,3.21,6.28,0.69,4.66,4.16,5.6,5.48,5.06,4.41,7.25,1.23,7.81,5.99,4.2,1.01,3.44
September,2.12,2.46,1.62,1.87,0.45,1.56,5.92,2.53,0.69,3.66,0.9,1.28,1.51,4.65,2.04,3.33,0.58,0.75,3.77,2.41,0.36,2.81,2.23,1.51,0.94,0.69,2.63,1.62,8.96,1.46,1.09,2.22,4.62,3.45,4.77,2.68,3.18,5.57,0.22,0.85,7.08,4.9,3.29,1.9,3.13,6.51,3.2,1.33,2.04,0.97,1.8,0.47,2.07,4.76,6.03,2.31,6.57,2.09,1.91,1.52,4.42,1.98,4.11,3.08,3.16,1.58,3.78,4.18,4.19,0.15,3.2
October,1.09,4.02,7.65,2.7,6.11,3.77,5.03,2.02,6.65,2.54,5.61,1.84,3.24,8.15,1.3,2.09,7.18,6.94,2.59,3.81,4.23,4.19,3.43,3.11,2.51,1.6,7.87,5.31,3.05,4.52,4.4,2.28,1.5,4.27,4.95,4.38,3.88,4.18,6.39,4.31,3.85,1.54,4.7,3.83,4.21,5.86,2.31,2.84,7.65,3.96,4.35,4.37,2.91,2.29,3.71,5.58,2.52,1.12,1,4.07,2.05,1.42,3.72,2.5,6.51,2.33,1.83,4.27,2.69,3.44,6.99
November,3.56,4,2.03,1.94,1.93,5.65,1.76,1.39,3.22,2.36,4.13,3.87,2.64,1.87,2.9,5.59,4.5,2.97,1.8,1.31,3.87,4.52,2.45,3.11,5.28,2.2,4.95,2.91,2.26,3.93,2.23,2.86,1.59,5.28,3.55,1.9,7.07,4.23,5.8,6.1,6.17,7.2,3.27,3.31,2.88,6.71,3.58,1.96,5.85,4.73,5.67,3.79,1.7,2.61,6.84,0.72,7.4,3.32,1.17,4.62,4.74,8.75,1.92,3.47,6.8,2.82,0.83,2.01,0.83,5.2,5.78
December,1.22,5.35,0.82,3.82,3.28,3.71,4.76,4.48,4.01,3.29,3.91,4.08,3.29,1.98,3.23,0.93,2.43,5.05,1.79,5.85,4.08,6.41,4.75,2.07,8.66,8.82,3,1.61,6.2,5.8,4.88,4.46,4.41,4.22,5.14,5.02,1,3.21,2.55,9.34,4.55,2.39,2.19,0.57,6.98,2.79,3.92,3.85,4.76,2.37,2.89,1.53,3.34,2.14,3.54,2.55,3.54,2.94,4.17,5.55,1.65,4.89,2.36,1.58,3.67,4.98,4.28,2.74,5.34,7.57,4.7
Total,29.84,35.84,32.65,29.02,41.06,38.16,32.22,32.6,31.95,33.29,39.08,27.51,26.07,43.34,32.17,31.33,35.79,39.42,34,36.86,39.24,35.79,46.6,35.56,34.91,37.04,42.5,36.15,42.86,38.98,43.82,31.55,42.9,43.82,45.46,37.26,39.38,46.69,44.94,35.09,50.02,44.47,36.96,30.43,34.74,39.78,39.78,35.41,43.76,37.35,32.41,33.17,31.69,34.12,38.67,35.9,45.77,42.38,35.84,33.2,38.31,45.06,29.84,29.56,46.48,27.52,39.53,35.47,43.03,32.79,46.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Dec 2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 July 2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
