"KIRKBY MALZEARD DROVERS INN - 5"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,SE214723,Long,-1.673886,Lat,54.146087,Elevation,576,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.01,1.67,3.47,3.12,1.97,6.18,1.89,3.13,1.76,6.67,2.46,6.68,7.08,,,,,,
February,,1.43,1.75,4.19,4.33,3.13,3.01,2.79,2.61,1.36,4.07,4.01,2.96,2.19,,,,,,
March,,3.34,1.39,4.68,2.87,4.77,3.02,3.16,5.06,5.36,0.75,2.4,4.64,6.38,,,,,,
April,,1.98,1.82,1.48,2.41,3.76,0.61,2.02,2.52,3.81,3.4,1.67,0.57,4.6,,,,,,
May,,1.33,2.59,6,3.52,1.13,3.73,4.8,3.3,2.11,2.56,2,2.9,2.56,,,,,,
June,,1.87,1.92,2.31,1.69,1.45,1.12,6.58,2.09,2.17,2.58,2.84,6.91,2.34,,,,,,
July,,2.66,1.88,2.86,2.41,0.37,0.74,1.99,3.35,4.22,2.35,0.35,4.6,1.01,,,,,,
August,,1.88,3.25,3.97,4.15,4.62,4.62,2.46,2.98,3.7,6.17,3.18,6.68,1.59,,,,,,
September,,1.31,1.66,3.8,2.22,3.73,0.62,0.77,3.96,2.6,0.38,3,2.27,1.65,,,,,,
October,,1.85,3.55,8.73,1.39,2.32,7.77,7.13,2.71,4.06,4.47,4.41,3.59,3.36,,,,,,
November,,4.01,2.83,1.86,3.14,6.07,4.9,3.06,1.88,1.41,4.03,4.87,2.59,3.34,,,,,,
December,,4.41,3.72,2.16,3.45,0.97,2.7,5.27,1.81,6.72,4.29,6.83,5.05,2.23,,,,,,
Total,,28.08,28.03,45.51,34.7,34.29,39.02,41.92,35.4,39.28,41.72,38.02,49.44,38.33,,,,,,
