"KIRKBY MALZEARD (DROVER'S INN)",,,,,,,,,,,,
Grid ref,SE213722,Long,-1.675424,Lat,54.145193,,,,,,,
Station no,3378,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,3.23,0.67,2.75,2.75,4.85,3.86,4.34,4.02,5.38,,
February,3.43,0.49,2.50,3.17,2.29,2.22,3.07,5.17,0.14,3.43,,
March,4.15,2.37,0.60,2.82,2.25,1.57,2.39,2.38,2.23,2.90,,
April,1.83,1.87,3.07,0.63,0.78,2.13,0.32,0.84,4.53,1.88,,
May,7.29,1.95,1.79,5.37,3.01,0.83,1.58,5.13,0.83,2.62,,
June,1.17,1.35,2.70,2.04,2.43,3.53,1.45,4.34,1.44,1.22,,
July,1.64,1.41,3.19,2.31,1.07,5.87,3.61,3.58,2.23,5.03,,
August,5.48,5.06,4.41,7.25,1.23,7.81,5.99,4.20,1.01,3.44,,
September,1.98,4.11,3.08,3.16,1.58,3.78,4.18,4.19,0.15,3.20,,
October,1.42,3.72,2.50,6.51,2.33,1.83,4.27,2.69,3.44,6.99,,
November,8.75,1.92,3.47,6.80,2.82,0.83,2.01,0.83,5.20,5.78,,
December,4.89,2.36,1.58,3.67,4.98,4.28,2.74,5.34,7.57,4.70,,
Total,45.06,29.84,29.56,46.48,27.52,39.53,35.47,43.03,32.79,46.57,,
Calc annual,45.06,29.84,29.56,46.48,27.52,39.53,35.47,43.03,32.79,46.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
